Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,IAD,FLL,20580,27118,6538,4738,1453,160,128,05:43 -> 07:31
T00,F01,C00,FLL,LGA,45536,53339,7803,6003,1734,160,128,12:38 -> 14:48
T00,F02,C00,LGA,FLL,85633,93436,7803,6003,1734,160,128,23:47 -> 01:57 (+1)
T01,F03,C01,LGA,MCO,20280,27165,6885,5085,1530,120,96,05:38 -> 07:32
T01,F04,C01,MCO,ORD,53081,60371,7290,5490,1620,120,96,14:44 -> 16:46
T01,F05,C01,ORD,LGA,64692,69988,5296,3496,1177,120,96,17:58 -> 19:26
T01,F06,C02,LGA,ATL,83887,89395,5508,3708,1224,120,96,23:18 -> 00:49 (+1)
T02,F07,C03,DAL,LAX,19800,28804,9004,7204,2001,200,160,05:30 -> 08:00
T02,F08,C03,LAX,DFW,54894,63817,8923,7123,1983,200,160,15:14 -> 17:43
T03,F09,C04,TPA,DAL,19920,26553,6633,4833,1474,200,160,05:32 -> 07:22
T03,F10,C04,DAL,ORD,36513,42295,5782,3982,1285,200,160,10:08 -> 11:44
T03,F11,C04,ORD,DFW,46846,52651,5805,4005,1290,200,160,13:00 -> 14:37
T03,F12,C03,DFW,DEN,73304,77948,4644,2844,1032,200,160,20:21 -> 21:39
T04,F13,C05,MIA,JFK,20880,28786,7906,6106,1757,160,128,05:48 -> 07:59
T04,F14,C05,JFK,MIA,58680,66586,7906,6106,1757,160,128,16:18 -> 18:29
T05,F15,C06,ORD,ATL,20040,24432,4392,2592,976,120,96,05:34 -> 06:47
T05,F16,C06,ATL,ORD,55044,59436,4392,2592,976,120,96,15:17 -> 16:30
T05,F17,C06,ORD,DAL,79724,85506,5782,3982,1285,120,96,22:08 -> 23:45
T06,F18,C07,PHL,DFW,20280,29694,9414,7614,2092,160,128,05:38 -> 08:14
T06,F19,C04,DFW,LAX,65566,74489,8923,7123,1983,160,128,18:12 -> 20:41
T07,F20,C08,LAS,ORD,19980,30919,10939,9139,2431,200,160,05:33 -> 08:35
T07,F21,C08,ORD,MCO,38549,45839,7290,5490,1620,200,160,10:42 -> 12:43
T07,F22,C09,MCO,ORD,76891,84181,7290,5490,1620,200,160,21:21 -> 23:23
T08,F23,C10,ATL,IAH,19980,24961,4981,3181,1107,120,96,05:33 -> 06:56
