Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,MCO,PHX,19860,33220,29
I01,F01,PHX,ATL,48868,60338,52
I02,F02,ATL,JFK,82089,87588,128
I03,F03,JFK,CLT,20340,24255,24
I04,F04,CLT,IAH,55141,61738,99
I05,F05,IAH,ATL,74351,79332,84
I06,F06,ATL,BOS,19920,26764,160
I07,F07,BOS,DEN,56773,69440,84
I08,F08,ORD,IAH,20160,26865,3
I09,F09,IAH,ORD,56139,62844,69
I10,F10,ORD,IAH,83214,89919,128
I11,F11,DFW,DTW,20340,27477,13
I12,F11-F12,DFW,MCO,20340,54942,53
I13,F12,DTW,MCO,47999,54942,17
I14,F13,MCO,ATL,76838,79763,69
I15,F14,LAX,DEN,20940,27172,4
I16,F15,DEN,PHL,31334,42584,54
I17,F16,PHL,DEN,45705,56955,62
I18,F17,DEN,ATL,82671,91338,96
I19,F18,PHL,ORD,20580,25476,2
I20,F19,ORD,LAX,49856,62465,160
I21,F20,LAX,DFW,67082,76005,92
I22,F21,LAS,SFO,19980,22968,99
I23,F22,SFO,IAH,30598,42419,20
I24,F23,IAH,SFO,73471,85292,160
I25,F24,SFO,DFW,20940,31519,2
I26,F25,DFW,DEN,36449,41093,6
I27,F26,DEN,ATL,49548,58215,5
I28,F27,ATL,MCO,62104,65029,31
I29,F28,PHX,DEN,20460,24816,3
I30,F29,DEN,ATL,42591,51258,9
I31,F30,ATL,DFW,83988,89271,96
I32,F31,LAS,MSP,19980,29371,11
I33,F32,MSP,LAX,37149,48250,30
I34,F33,LAX,DFW,67444,76367,83
I35,F34,ORD,DFW,20400,26205,5
I36,F35,DFW,LAX,32616,41539,103
I37,F32-F36,MSP,ORD,37149,78978,52
I38,F36,LAX,ORD,66369,78978,23
I39,F37,SFO,DFW,20400,30979,4
I40,F24-F38,SFO,ORD,20940,53910,29
I41,F37-F38,SFO,ORD,20400,53910,28
I42,F38,DFW,ORD,48105,53910,12
I43,F36-F39,LAX,EWR,66369,87311,52
I44,F39,ORD,EWR,82118,87311,108
I45,F40,SFO,LAS,20820,23808,39
I46,F41,LAS,IAH,28462,37291,7
I47,F42,IAH,ATL,62296,67277,128
I48,F26-F43,DEN,IAH,49548,92127,34
I49,F29-F43,DEN,IAH,42591,92127,30
I50,F43,ATL,IAH,87146,92127,64
I51,F44,EWR,MIA,19980,27855,6
I52,F44-F45,EWR,DTW,19980,55779,45
I53,F45,MIA,DTW,47468,55779,83
I54,F46,DTW,MIA,58214,66525,128
I55,F47,MSP,JFK,21000,28429,15
I56,F48,JFK,IAH,42966,53212,53
I57,F49,IAH,JFK,55316,65562,21
I58,F49-F50,IAH,CLT,55316,82845,34
I59,F50,JFK,CLT,78930,82845,62
I60,F51,CLT,MCO,19860,23257,8
I61,F52,MCO,CLT,49977,53374,58
I62,F53,CLT,MCO,65407,68804,28
I63,F54,DFW,EWR,20700,30618,32
I64,F55,EWR,MSP,33711,40992,4
I65,F31-F56,LAS,BOS,19980,56606,50
I66,F56,MSP,BOS,48488,56606,25
I67,F57,BOS,MSP,65178,73296,128
I68,F31-F58,LAS,SFO,19980,89929,50
I69,F58,MSP,SFO,78450,89929,78
I70,F59,PHL,ATL,20100,24919,2
I71,F59-F60,PHL,LAS,20100,41520,49
I72,F60,ATL,LAS,28902,41520,46
I73,F61,LAS,ATL,66470,79088,81
I74,F62,JFK,DTW,19980,23652,50
I75,F11-F63,DFW,JFK,20340,47810,37
I76,F63,DTW,JFK,44138,47810,5
I77,F47-F64,MSP,DEN,21000,66425,20
I78,F64,JFK,DEN,54685,66425,22
I79,F65,BOS,DEN,20940,33607,3
I80,F25-F66,DFW,PHX,36449,63894,26
I81,F66,DEN,PHX,59538,63894,37
I82,F67,PHX,DEN,78655,83011,96
I83,F68,ORD,SEA,20220,32644,67
I84,F69,SEA,DFW,60398,72404,61
I85,F70,DTW,ATL,20760,25071,2
I86,F71,ATL,DEN,54030,62697,31
I87,F72,MCO,DFW,20700,27819,3
I88,F24-F73,SFO,MCO,20940,57512,14
I89,F34-F73,ORD,MCO,20400,57512,71
I90,F73,DFW,MCO,50393,57512,23
I91,F74,MCO,PHX,78815,92175,160
I92,F75,MCO,CLT,20040,23437,8
I93,F75-F76,MCO,JFK,20040,53679,31
I94,F76,CLT,JFK,49764,53679,20
I95,F77,JFK,CLT,76401,80316,128
I96,F78,IAH,DEN,20160,26401,12
I97,F79,DEN,IAH,44969,51210,25
I98,F08-F80,ORD,DEN,20160,82593,58
I99,F22-F80,SFO,DEN,30598,82593,75
I100,F80,IAH,DEN,76352,82593,27
I101,F81,EWR,CLT,20460,24285,5
I102,F75-F82,MCO,EWR,20040,56912,31
I103,F82,CLT,EWR,53087,56912,17
I104,F83,SFO,ORD,20220,33553,3
I105,F83-F84,SFO,JFK,20220,71090,77
I106,F84,ORD,JFK,65749,71090,83
I107,F85,JFK,ORD,87104,92445,160
I108,F86,IAH,EWR,19920,30045,20
I109,F87,EWR,IAH,43659,53784,13
I110,F87-F88,EWR,ORD,43659,70171,43
I111,F88,IAH,ORD,63466,70171,29
I112,F89,JFK,ATL,20100,25599,2
I113,F90,ATL,JFK,51594,57093,34
I114,F47-F91,MSP,MIA,21000,78256,23
I115,F91,JFK,MIA,70350,78256,28
I116,F92,MIA,JFK,85080,92986,96
I117,F93,MCO,ATL,19860,22785,2
I118,F93-F94,MCO,PHL,19860,42871,53
I119,F94,ATL,PHL,38052,42871,75
I120,F95,PHL,ATL,54863,59682,7
I121,F05-F96,IAH,BOS,74351,90112,76
