Itinerary,Flight_legs,Pax
I00,F00,37
I01,F01,19
I02,F02,55
I03,F03,19
I04,F04,60
I05,F05,56
I06,F06,96
I07,F07,35
I08,F07-F08,33
I09,F08,63
I10,F09,96
I11,F10,96
I12,F11,33
I13,F12,2
I14,F12-F13,18
I15,F13,19
I16,F14,96
I17,F15,96
I18,F16,96
I19,F17,6
I20,F18,96
I21,F19,6
I22,F20,55
I23,F21,38
I24,F22,25
I25,F22-F23,17
I26,F23,16
I27,F24,96
I28,F25,21
I29,F26,3
I30,F27,3
I31,F27-F28,39
I32,F28,57
I33,F29,55
I34,F30,3
I35,F31,96
I36,F32,6
I37,F33,55
I38,F34,9
I39,F34-F35,45
I40,F35,51
I41,F36,96
I42,F37,96
I43,F38,11
I44,F39,36
I45,F40,96
I46,F41,96
I47,F42,50
I48,F43,57
I49,F44,96
I50,F45,32
I51,F46,96
I52,F47,6
I53,F12-F48,15
I54,F48,22
I55,F48-F49,35
I56,F49,22
I57,F49-F50,26
I58,F50,70
I59,F51,96
I60,F52,7
I61,F52-F53,31
I62,F53,26
I63,F13-F54,18
I64,F54,35
I65,F55,96
I66,F56,2
I67,F57,2
I68,F58,3
I69,F59,50
I70,F57-F60,43
I71,F60,53
I72,F61,6
I73,F62,96
I74,F63,96
I75,F64,10
I76,F65,12
I77,F66,96
I78,F67,96
I79,F68,54
I80,F69,96
I81,F70,33
I82,F34-F71,15
I83,F71,81
I84,F72,36
I85,F70-F73,38
I86,F72-F73,38
I87,F73,20
I88,F74,18
I89,F52-F75,27
I90,F75,69
I91,F03-F76,27
I92,F76,33
I93,F77,96
I94,F78,4
I95,F79,11
I96,F80,61
I97,F81,2
I98,F81-F82,40
I99,F82,56
I100,F83,31
I101,F45-F84,44
I102,F83-F84,45
I103,F84,7
I104,F85,9
I105,F86,96
I106,F03-F87,22
I107,F87,74
I108,F88,96
I109,F89,5
I110,F26-F90,24
I111,F79-F90,35
I112,F90,18
I113,F91,96
I114,F92,24
I115,F92-F93,28
I116,F93,53
I117,F94,15
I118,F95,57
I119,F95-F96,39
I120,F96,57
I121,F97,54
I122,F98,37
I123,F99,96
I124,F100,96
I125,F101,52
I126,F102,21
I127,F94-F103,17
I128,F103,43
I129,F104,96
I130,F105,19
I131,F106,96
I132,F107,57
I133,F23-F108,24
I134,F108,72
I135,F109,23
I136,F110,38
I137,F111,67
I138,F112,64
I139,F113,96
I140,F114,96
I141,F115,96
I142,F116,9
I143,F117,66
I144,F53-F118,25
I145,F118,42
I146,F119,96
I147,F120,96
I148,F121,96
I149,F122,96
I150,F123,2
I151,F56-F124,37
I152,F124,59
I153,F125,59
I154,F126,44
I155,F74-F127,19
I156,F127,11
I157,F128,96
I158,F129,32
I159,F52-F130,13
I160,F130,78
I161,F131,23
I162,F03-F76-F132,16
I163,F76-F132,20
I164,F129-F132,44
I165,F132,16
I166,F133,36
I167,F134,35
I168,F134-F135,33
I169,F135,63
I170,F136,96
I171,F137,34
I172,F30-F138,32
I173,F138,64
I174,F139,96
I175,F140,56
I176,F140-F141,40
I177,F141,35
I178,F142,96
I179,F143,4
I180,F144,96
I181,F145,96
I182,F146,17
I183,F147,96
I184,F148,65
I185,F52-F130-F149,5
I186,F149,54
I187,F150,22
I188,F12-F151,13
I189,F151,30
I190,F152,24
I191,F153,6
I192,F123-F154,32
I193,F154,42
I194,F39-F155,41
I195,F155,20
I196,F156,96
I197,F157,34
I198,F157-F158,37
I199,F158,59
I200,F159,64
I201,F17-F160,39
I202,F32-F160,42
I203,F160,15
I204,F161,9
I205,F162,96
I206,F163,32
I207,F161-F164,30
I208,F164,66
I209,F165,12
I210,F166,96
I211,F167,63
I212,F168,96
I213,F169,96
I214,F170,30
I215,F171,49
I216,F94-F103-F172,13
I217,F103-F172,23
I218,F165-F172,31
I219,F172,29
I220,F173,8
I221,F174,26
I222,F47-F175,28
I223,F175,13
I224,F17-F176,20
I225,F173-F176,40
I226,F176,36
I227,F177,96
I228,F178,20
I229,F123-F179,18
I230,F179,19
I231,F180,96
I232,F181,41
I233,F182,96
I234,F183,96
I235,F184,8
I236,F85-F185,43
I237,F185,53
I238,F186,11
I239,F187,96
I240,F188,96
I241,F189,4
I242,F123-F190,11
I243,F190,85
I244,F191,96
I245,F192,96
I246,F193,96
I247,F194,96
I248,F195,27
I249,F196,31
I250,F56-F197,21
I251,F58-F197,32
I252,F189-F197,31
I253,F197,7
I254,F198,96
I255,F199,10
I256,F200,18
I257,F61-F201,40
I258,F200-F201,28
I259,F201,5
I260,F202,96
I261,F203,49
I262,F204,62
I263,F204-F205,34
I264,F205,4
I265,F57-F206,21
I266,F206,75
I267,F207,3
I268,F123-F208,7
I269,F208,58
I270,F116-F209,40
I271,F209,21
I272,F210,96
I273,F211,96
I274,F212,96
I275,F213,96
I276,F214,29
I277,F34-F215,13
I278,F215,83
I279,F39-F216,19
I280,F154-F216,22
I281,F216,38
I282,F217,96
I283,F218,8
I284,F219,96
I285,F220,96
I286,F221,64
I287,F222,51
I288,F12-F223,9
I289,F223,87
I290,F224,96
I291,F225,96
I292,F226,8
I293,F81-F227,23
I294,F227,44
I295,F25-F228,44
I296,F227-F228,29
I297,F228,23
I298,F229,96
I299,F230,62
I300,F231,32
I301,F232,96
I302,F233,96
I303,F234,96
I304,F112-F235,11
I305,F235,5
I306,F81-F236,10
I307,F236,53
I308,F236-F237,33
I309,F237,63
I310,F238,6
I311,F239,96
I312,F240,59
I313,F241,14
I314,F241-F242,39
I315,F242,57
I316,F243,96
I317,F244,24
I318,F218-F245,45
I319,F245,51
I320,F246,23
I321,F246-F247,33
I322,F247,27
I323,F56-F248,17
I324,F89-F248,31
I325,F153-F248,43
I326,F248,5
I327,F249,3
I328,F250,21
I329,F251,96
I330,F252,16
I331,F252-F253,20
I332,F253,10
I333,F231-F254,34
I334,F254,62
I335,F255,23
I336,F256,96
I337,F257,96
I338,F258,96
I339,F259,96
I340,F165-F260,21
I341,F260,46
I342,F261,96
I343,F262,34
I344,F262-F263,45
I345,F263,51
I346,F97-F264,24
I347,F264,13
I348,F265,3
I349,F265-F266,40
I350,F266,56
I351,F267,96
I352,F268,33
I353,F269,21
I354,F98-F270,42
I355,F152-F270,36
I356,F270,18
I357,F271,37
I358,F272,96
I359,F165-F273,17
I360,F273,11
I361,F274,36
I362,F61-F275,22
I363,F275,74
I364,F276,37
I365,F277,96
I366,F278,54
I367,F279,13
I368,F27-F280,20
I369,F81-F280,6
I370,F235-F280,26
I371,F280,41
I372,F81-F280-F281,3
I373,F281,93
I374,F282,3
I375,F226-F283,29
I376,F283,18
I377,F283-F284,33
I378,F284,63
I379,F285,96
I380,F286,96
I381,F287,96
I382,F288,58
I383,F289,96
I384,F290,96
I385,F291,47
I386,F199-F292,10
I387,F292,37
I388,F207-F293,46
I389,F293,20
I390,F12-F48-F294,7
I391,F48-F294,17
I392,F294,72
I393,F295,60
I394,F296,7
I395,F38-F297,47
I396,F297,33
I397,F297-F298,16
I398,F298,80
I399,F299,38
I400,F300,96
I401,F301,53
I402,F302,56
I403,F302-F303,40
I404,F303,21
I405,F21-F304,42
I406,F116-F304,23
I407,F304,31
I408,F305,15
I409,F306,96
I410,F307,96
I411,F308,96
I412,F309,10
I413,F241-F310,17
I414,F310,44
I415,F311,96
I416,F312,13
I417,F30-F313,21
I418,F313,31
I419,F314,17
I420,F30-F315,20
I421,F250-F315,29
I422,F314-F315,38
I423,F315,9
I424,F316,40
I425,F23-F317,15
I426,F129-F317,20
I427,F317,61
I428,F301-F318,43
I429,F318,53
I430,F319,31
I431,F320,96
I432,F321,96
I433,F322,62
I434,F323,62
I435,F324,36
