iata_code,lat,lon,name,type,iso3,iso_region,municipality
AUA,12.5014,-70.015198,Queen Beatrix International Airport,medium_airport,ABW,AW-U-A,Oranjestad
CCN,34.526465,65.27102,Chakcharan Airport,small_airport,AFG,AF-GHO,Chakcharan
FBD,37.121101,70.518097,Fayzabad Airport,small_airport,AFG,AF-BDS,Fayzabad
HEA,34.20999908,62.22829819,Herat Airport,medium_airport,AFG,AF-HER,
KBL,34.565899,69.212303,Hamid Karzai International Airport,medium_airport,AFG,AF-KAB,Kabul
KHT,33.333401,69.952003,Khost Chapman Airport,small_airport,AFG,AF-KHO,Khost
MZR,36.70690155,67.20970154,Mazar I Sharif Airport,medium_airport,AFG,AF-BAL,
CAB,-5.596990108,12.18840027,Cabinda Airport,medium_airport,AGO,AO-CAB,Cabinda
GXG,-7.754509926,15.287699700000001,Negage Airport,medium_airport,AGO,AO-UIG,Negage
MSZ,-15.26119995,12.14680004,Namibe Airport,medium_airport,AGO,AO-NAM,Namibe
SPP,-14.657600400000002,17.71980095,Menongue Airport,medium_airport,AGO,AO-CCU,Menongue
MEG,-9.525090217999999,16.31240082,Malanje Airport,medium_airport,AGO,AO-MAL,Malanje
LAD,-8.858369999999999,13.2312,Quatro de Fevereiro Airport,large_airport,AGO,AO-LUA,Luanda
NOV,-12.80889988,15.76049995,Nova Lisboa Airport,medium_airport,AGO,AO-HUA,Huambo
SDD,-14.92469978,13.57499981,Lubango Airport,medium_airport,AGO,AO-HUI,Lubango
DUE,-7.400889874,20.81850052,Dundo Airport,medium_airport,AGO,AO-LNO,Chitato
CBT,-12.4792,13.4869,Catumbela Airport,medium_airport,AGO,AO-BGU,Catumbela
SZA,-6.141089916,12.37180042,Soyo Airport,medium_airport,AGO,AO-ZAI,Soyo
SSY,-6.269899845,14.24699974,Mbanza Congo Airport,medium_airport,AGO,AO-ZAI,Mbanza Congo
VPE,-17.043500899999998,15.68379974,Ngjiva Pereira Airport,medium_airport,AGO,AO-CNN,Ngiva
AXA,18.2048,-63.055099,Clayton J Lloyd International Airport,medium_airport,AIA,AI-U-A,The Valley
TIA,41.41469955,19.72060013,Tirana International Airport Mother Teresa,large_airport,ALB,AL-11,Tirana
ZDY,24.51,52.3352,Delma Airport,small_airport,ARE,AE-AZ,Delma Island
FJR,25.11219978,56.32400131,Fujairah International Airport,medium_airport,ARE,AE-FU,
AUH,24.43300056,54.65110016,Abu Dhabi International Airport,large_airport,ARE,AE-AZ,Abu Dhabi
AAN,24.26169968,55.60919952,Al Ain International Airport,medium_airport,ARE,AE-AZ,Al Ain
DXB,25.25279999,55.36439896,Dubai International Airport,large_airport,ARE,AE-DU,Dubai
DWC,24.896356,55.161389,Al Maktoum International Airport,large_airport,ARE,AE-DU,Jebel Ali
RKT,25.613500600000002,55.93880081,Ras Al Khaimah International Airport,medium_airport,ARE,AE-RK,Ras Al Khaimah
SHJ,25.32859993,55.51720047,Sharjah International Airport,large_airport,ARE,AE-SH,Sharjah
PMQ,-46.537898999999996,-70.978699,Perito Moreno Airport,medium_airport,ARG,AR-Z,Perito Moreno
GGS,-48.7831,-70.150002,Gobernador Gregores Airport,small_airport,ARG,AR-Z,Gobernador Gregores
RYO,-51.605,-72.2203,28 de Noviembre Airport,small_airport,ARG,AR-Z,Rio Turbio
RZA,-50.0165,-68.5792,Santa Cruz Airport,medium_airport,ARG,AR-Z,Santa Cruz
BHI,-38.725,-62.1693,Comandante Espora Airport,medium_airport,ARG,AR-B,Bahia Blanca
SST,-36.5423,-56.7218,Santa Teresita Airport,medium_airport,ARG,AR-B,Santa Teresita
MDQ,-37.9342,-57.5733,Ástor Piazzola International Airport,medium_airport,ARG,AR-B,Mar del Plata
NQN,-38.949001,-68.15570100000001,Presidente Peron Airport,medium_airport,ARG,AR-Q,Neuquen
NEC,-38.4831,-58.8172,Necochea Airport,medium_airport,ARG,AR-B,Necochea
CPC,-40.075401,-71.137299,Aviador C. Campos Airport,medium_airport,ARG,AR-Q,Chapelco/San Martin de los Andes
