Tail,Flight_ID,Crew_ID,From,To,SDT,SAT,Flight_time,Cruise_time,Distance(km),Capacity,Pax
T0,T0F0,C0,AUS,MBS,05:31,07:55,02:24,01:54,1908,240,217
T0,T0F1,C2,MBS,LFT,08:43,10:43,02:00,01:30,1639,240,144
T0,T0F2,C0,LFT,LIT,11:24,12:00,00:36,00:06,504,240,189
T1,T1F0,C2,AUS,MBS,05:36,08:00,02:24,01:54,1908,210,167
T1,T1F1,C4,MBS,LIT,08:43,10:13,01:30,01:00,1204,210,187
T1,T1F2,C10,LIT,LFT,11:00,11:36,00:36,00:06,504,210,202
T2,T2F0,C5,AUS,LFT,05:38,06:20,00:42,00:12,546,240,198
T2,T2F1,C10,LFT,LIT,07:09,07:45,00:36,00:06,504,240,208
T2,T2F2,C12,LIT,MBS,08:28,09:58,01:30,01:00,1204,240,210
T3,T3F0,C4,AUS,MBS,05:38,08:02,02:24,01:54,1908,210,193
T3,T3F1,C13,MBS,LIT,08:35,10:05,01:30,01:00,1204,210,163
T3,T3F2,C4,LIT,LFT,10:55,11:31,00:36,00:06,504,210,189
T4,T4F0,C3,AUS,MBS,05:36,08:00,02:24,01:54,1908,210,175
T4,T4F1,C0,MBS,LFT,08:41,10:41,02:00,01:30,1639,210,196
T4,T4F2,C2,LFT,LIT,11:17,11:53,00:36,00:06,504,210,167
T4,T4F3,C0,LIT,JAX,12:43,14:07,01:24,00:54,1093,210,169
T4,T4F4,C0,JAX,CID,14:53,16:47,01:54,01:24,1551,210,207
T5,T5F0,C8,CID,AUS,05:43,07:31,01:48,01:18,1405,180,126
T5,T5F1,C1,AUS,MBS,08:19,10:43,02:24,01:54,1908,180,130
T5,T5F2,C3,MBS,LFT,11:29,13:29,02:00,01:30,1639,180,117
T6,T6F0,C6,JAX,AUS,05:38,07:32,01:54,01:24,1533,240,155
T6,T6F1,C7,AUS,LFT,08:08,08:50,00:42,00:12,546,240,174
T6,T6F2,C5,LFT,MBS,09:27,11:27,02:00,01:30,1639,240,180
T7,T7F0,C9,JAX,AUS,05:46,07:40,01:54,01:24,1533,180,168
T7,T7F1,C8,AUS,LFT,08:15,08:57,00:42,00:12,546,180,109
T7,T7F2,C7,LFT,MBS,09:37,11:37,02:00,01:30,1639,180,109
T8,T8F0,C7,CID,AUS,05:41,07:29,01:48,01:18,1405,240,203
T8,T8F1,C6,AUS,MBS,08:11,10:35,02:24,01:54,1908,240,180
T8,T8F2,C1,MBS,LFT,11:20,13:20,02:00,01:30,1639,240,172
T8,T8F3,C1,LFT,LIT,14:03,14:39,00:36,00:06,504,240,149
T8,T8F4,C1,LIT,JAX,15:21,16:45,01:24,00:54,1093,240,201
T9,T9F0,C1,LIT,AUS,05:32,06:26,00:54,00:24,718,180,166
T9,T9F1,C11,AUS,LFT,07:10,07:52,00:42,00:12,546,180,172
T9,T9F2,C11,LFT,MBS,08:34,10:34,02:00,01:30,1639,180,140
