Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,T00F00,C00,DFW,JFK,19860,29913,10053,8253,2234,266,212,05:31 -> 08:18
T00,T00F01,C00,JFK,ATL,32198,37697,5499,3699,1222,266,212,08:56 -> 10:28
T00,T00F02,C00,ATL,DFW,40197,45480,5283,3483,1174,266,212,11:09 -> 12:38
T00,T00F03,C00,DFW,LAX,48186,57109,8923,7123,1983,266,212,13:23 -> 15:51
T00,T00F04,C01,LAX,DFW,59881,68804,8923,7123,1983,266,212,16:38 -> 19:06
T00,T00F05,C01,DFW,LAX,71170,80093,8923,7123,1983,266,212,19:46 -> 22:14
T00,T00F06,C01,LAX,DFW,82465,91388,8923,7123,1983,266,212,22:54 -> 01:23 (+1)
T01,T01F00,C02,JFK,ATL,20700,26199,5499,3699,1222,120,96,05:45 -> 07:16
T01,T01F01,C02,ATL,JFK,28875,34374,5499,3699,1222,120,96,08:01 -> 09:32
T01,T01F02,C02,JFK,ATL,37138,42637,5499,3699,1222,120,96,10:18 -> 11:50
T01,T01F03,C02,ATL,DFW,45634,50917,5283,3483,1174,120,96,12:40 -> 14:08
T01,T01F04,C02,DFW,LAX,53676,62599,8923,7123,1983,120,96,14:54 -> 17:23
T01,T01F05,C00,LAX,DFW,64689,73612,8923,7123,1983,120,96,17:58 -> 20:26
T01,T01F06,C03,DFW,ORD,75494,81299,5805,4005,1290,120,96,20:58 -> 22:34
T01,T01F07,C03,ORD,JFK,83728,89069,5341,3541,1187,120,96,23:15 -> 00:44 (+1)
T02,T02F00,C04,DFW,ATL,20700,25983,5283,3483,1174,200,160,05:45 -> 07:13
T02,T02F01,C04,ATL,JFK,28883,34382,5499,3699,1222,200,160,08:01 -> 09:33
T02,T02F02,C04,JFK,ATL,36938,42437,5499,3699,1222,200,160,10:15 -> 11:47
T02,T02F03,C04,ATL,JFK,44636,50135,5499,3699,1222,200,160,12:23 -> 13:55
T02,T02F04,C04,JFK,ORD,51967,57308,5341,3541,1187,200,160,14:26 -> 15:55
T02,T02F05,C04,ORD,JFK,59256,64597,5341,3541,1187,200,160,16:27 -> 17:56
T02,T02F06,C05,JFK,ORD,66907,72248,5341,3541,1187,200,160,18:35 -> 20:04
T02,T02F07,C05,ORD,DFW,74169,79974,5805,4005,1290,200,160,20:36 -> 22:12
T02,T02F08,C00,DFW,ORD,82581,88386,5805,4005,1290,200,160,22:56 -> 00:33 (+1)
T03,T03F00,C06,DFW,ATL,20280,25563,5283,3483,1174,200,160,05:38 -> 07:06
T03,T03F01,C06,ATL,DFW,27912,33195,5283,3483,1174,200,160,07:45 -> 09:13
T03,T03F02,C06,DFW,LAX,35156,44079,8923,7123,1983,200,160,09:45 -> 12:14
T03,T03F03,C06,LAX,ORD,46687,59296,12609,10809,2802,200,160,12:58 -> 16:28
T03,T03F04,C07,ORD,LAX,61468,74077,12609,10809,2802,200,160,17:04 -> 20:34
T03,T03F05,C02,LAX,ORD,76414,89023,12609,10809,2802,200,160,21:13 -> 00:43 (+1)
T04,T04F00,C08,DFW,ATL,20760,26043,5283,3483,1174,160,128,05:46 -> 07:14
T04,T04F01,C08,ATL,DFW,28567,33850,5283,3483,1174,160,128,07:56 -> 09:24
T04,T04F02,C08,DFW,LAX,36637,45560,8923,7123,1983,160,128,10:10 -> 12:39
T04,T04F03,C08,LAX,DFW,48364,57287,8923,7123,1983,160,128,13:26 -> 15:54
T04,T04F04,C08,DFW,LAX,59091,68014,8923,7123,1983,160,128,16:24 -> 18:53
T04,T04F05,C09,LAX,DFW,70176,79099,8923,7123,1983,160,128,19:29 -> 21:58
T04,T04F06,C09,DFW,LAX,81672,90595,8923,7123,1983,160,128,22:41 -> 01:09 (+1)
