,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,I00,28,28,0%,2,2,0%
1,I01,166,50,70%,2,2,0%
2,I02,24,24,0%,2,2,0%
3,I03,92,49,47%,2,2,0%
4,I04,10,10,0%,2,2,0%
5,I05,133,50,62%,3,3,0%
6,I06,11,11,0%,2,2,0%
7,I07,28,28,0%,2,2,0%
8,I08,237,50,79%,3,3,0%
9,I09,166,50,70%,2,2,0%
10,I10,24,24,0%,2,2,0%
11,I11,92,49,47%,2,2,0%
12,I12,10,10,0%,2,2,0%
13,I13,11,11,0%,2,2,0%
14,I14,246,49,80%,2,2,0%
15,I15,38,38,0%,2,2,0%
16,I16,178,50,72%,2,2,0%
17,I17,18,18,0%,2,2,0%
18,I18,45,45,0%,2,2,0%
19,I19,4,4,0%,2,2,0%
20,I20,500,45,91%,2,2,0%
21,I21,24,24,0%,2,2,0%
22,I22,92,49,47%,2,2,0%
23,I23,10,10,0%,2,2,0%
24,I24,8,8,0%,2,2,0%
25,I25,6,6,0%,2,2,0%
26,I26,42,42,0%,2,2,0%
27,I27,246,49,80%,2,2,0%
28,I28,32,32,0%,2,2,0%
29,I29,166,50,70%,2,2,0%
30,I30,24,24,0%,2,2,0%
31,I31,80,44,45%,2,2,0%
32,I32,18,18,0%,2,2,0%
33,I33,237,49,79%,3,3,0%
34,I34,23,23,0%,2,2,0%
35,I35,12,12,0%,2,2,0%
36,I36,8,8,0%,2,2,0%
37,I37,6,6,0%,2,2,0%
38,I38,42,42,0%,2,2,0%
39,I39,246,49,80%,2,2,0%
40,I40,34,34,0%,2,2,0%
41,I41,485,50,90%,3,3,0%
42,I42,178,50,72%,2,2,0%
43,I43,16,16,0%,2,2,0%
44,I44,66,42,36%,3,3,0%
45,I45,19,19,0%,2,2,0%
46,I46,10,10,0%,2,2,0%
47,I47,21,21,0%,3,3,0%
48,I48,6,6,0%,2,2,0%
49,I49,42,42,0%,2,2,0%
50,I50,500,45,91%,2,2,0%
51,I51,24,24,0%,2,2,0%
52,I52,150,50,67%,3,3,0%
53,I53,150,50,67%,3,3,0%
54,I54,49,49,0%,2,2,0%
55,I55,16,16,0%,2,2,0%
56,I56,133,50,62%,3,3,0%
57,I57,328,49,85%,3,3,0%
58,I58,50,50,0%,3,3,0%
59,I59,30,30,0%,2,2,0%
60,I60,246,49,80%,2,2,0%
61,I61,42,42,0%,2,2,0%
62,I62,342,50,85%,2,2,0%
63,I63,20,20,0%,2,2,0%
64,I64,25,25,0%,2,2,0%
65,I65,14,14,0%,2,2,0%
66,I66,237,50,79%,3,3,0%
67,I67,81,50,38%,3,3,0%
68,I68,15,15,0%,2,2,0%
69,I69,8,8,0%,2,2,0%
70,I70,42,42,0%,2,2,0%
71,I71,246,49,80%,2,2,0%
72,I72,34,34,0%,2,2,0%
73,I73,487,50,90%,3,3,0%
74,I74,329,49,85%,3,3,0%
75,I75,176,49,72%,2,2,0%
76,I76,16,16,0%,2,2,0%
77,I77,133,50,62%,3,3,0%
78,I78,30,30,0%,2,2,0%
79,I79,500,45,91%,2,2,0%
80,I80,24,24,0%,2,2,0%
81,I81,237,50,79%,3,3,0%
82,I82,80,44,45%,2,2,0%
83,I83,18,18,0%,2,2,0%
84,I84,133,48,64%,3,3,0%
85,I85,487,50,90%,3,3,0%
86,I86,61,50,18%,2,2,0%
87,I87,4,4,0%,2,2,0%
