,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,I00P00,28,28,0%,2,2,0%
1,I00P01,28,28,0%,2,2,0%
2,I00P02,28,28,0%,2,2,0%
3,I00P03,28,28,0%,2,2,0%
4,I00P04,28,28,0%,2,2,0%
5,I00P05,28,28,0%,2,2,0%
6,I00P06,28,28,0%,2,2,0%
7,I00P07,28,28,0%,2,2,0%
8,I00P08,28,28,0%,2,2,0%
9,I00P09,28,28,0%,2,2,0%
10,I00P10,28,28,0%,2,2,0%
11,I00P11,28,28,0%,2,2,0%
12,I00P12,28,28,0%,2,2,0%
13,I00P13,28,28,0%,2,2,0%
14,I00P14,28,28,0%,2,2,0%
15,I00P15,28,28,0%,2,2,0%
16,I00P16,28,28,0%,2,2,0%
17,I00P17,28,28,0%,2,2,0%
18,I00P18,28,28,0%,2,2,0%
19,I00P19,28,28,0%,2,2,0%
20,I00P20,28,28,0%,2,2,0%
21,I00P21,28,28,0%,2,2,0%
22,I00P22,28,28,0%,2,2,0%
23,I00P23,28,28,0%,2,2,0%
24,I00P24,28,28,0%,2,2,0%
25,I00P25,28,28,0%,2,2,0%
26,I00P26,28,28,0%,2,2,0%
27,I00P27,28,28,0%,2,2,0%
28,I00P28,28,28,0%,2,2,0%
29,I00P29,28,28,0%,2,2,0%
30,I00P30,28,28,0%,2,2,0%
31,I00P31,28,28,0%,2,2,0%
32,I00P32,28,28,0%,2,2,0%
33,I00P33,28,28,0%,2,2,0%
34,I00P34,28,28,0%,2,2,0%
35,I01P00,166,50,70%,2,2,0%
36,I01P01,166,50,70%,2,2,0%
37,I01P02,166,50,70%,2,2,0%
38,I01P03,166,50,70%,2,2,0%
39,I01P04,166,50,70%,2,2,0%
40,I01P05,166,50,70%,2,2,0%
41,I01P06,166,50,70%,2,2,0%
42,I01P07,166,50,70%,2,2,0%
43,I01P08,166,50,70%,2,2,0%
44,I01P09,166,50,70%,2,2,0%
45,I01P10,166,50,70%,2,2,0%
46,I01P11,166,50,70%,2,2,0%
47,I01P12,166,50,70%,2,2,0%
48,I01P13,166,50,70%,2,2,0%
49,I01P14,166,50,70%,2,2,0%
50,I01P15,166,50,70%,2,2,0%
51,I01P16,166,50,70%,2,2,0%
52,I01P17,166,50,70%,2,2,0%
53,I01P18,166,50,70%,2,2,0%
54,I01P19,166,50,70%,2,2,0%
55,I01P20,166,50,70%,2,2,0%
56,I01P21,166,50,70%,2,2,0%
57,I01P22,166,50,70%,2,2,0%
58,I01P23,166,50,70%,2,2,0%
59,I01P24,166,50,70%,2,2,0%
60,I01P25,166,50,70%,2,2,0%
61,I01P26,166,50,70%,2,2,0%
62,I01P27,166,50,70%,2,2,0%
63,I01P28,166,50,70%,2,2,0%
64,I01P29,166,50,70%,2,2,0%
65,I01P30,166,50,70%,2,2,0%
66,I01P31,166,50,70%,2,2,0%
67,I01P32,166,50,70%,2,2,0%
68,I01P33,166,50,70%,2,2,0%
69,I01P34,166,50,70%,2,2,0%
70,I01P35,166,50,70%,2,2,0%
71,I01P36,166,50,70%,2,2,0%
72,I01P37,166,50,70%,2,2,0%
73,I01P38,166,50,70%,2,2,0%
74,I01P39,166,50,70%,2,2,0%
75,I01P40,166,50,70%,2,2,0%
76,I01P41,166,50,70%,2,2,0%
77,I01P42,166,50,70%,2,2,0%
78,I01P43,166,50,70%,2,2,0%
79,I01P44,166,50,70%,2,2,0%
80,I01P45,166,50,70%,2,2,0%
81,I01P46,166,50,70%,2,2,0%
82,I01P47,166,50,70%,2,2,0%
