index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay
0,T00,F00,C00,LAX,ORD,23460.0,36068.999986580464,12608.999986580464,10808.999966347603,2802,120,72,06:31 -> 10:01,01:00
1,T00,F01,C00,ORD,ATL,38354.0,42745.99999855653,4391.99999855653,2591.9999927347453,976,120,72,10:39 -> 11:52,01:00
2,T00,F02,C00,ATL,ORD,45246.0,49637.99999932058,4391.999999320578,2591.999993998654,976,120,72,12:34 -> 13:47,01:00
3,T00,F03,C00,ORD,LAX,51776.0,63413.000122520614,11637.000122520614,9837.00075177032,2802,120,48,14:22 -> 17:36,00:43
4,T00,F04,C00,LAX,ORD,67276.0,78913.00000051201,11637.00000051201,9837.001134919448,2802,120,47,18:41 -> 21:55,00:43
5,T00,F05,C01,ORD,LAX,80713.00000124869,92350.00000423122,11637.000002982531,9837.001284712045,2802,120,96,22:25 -> 01:39 (+1),00:09
6,T01,F06,C02,LAX,ORD,20940.00000268691,33416.2130416405,12476.213038953589,10676.213032235495,2802,120,120,05:49 -> 09:16,
7,T01,F07,C02,ORD,ATL,36012.00000089734,40403.999999306456,4391.999998409119,2591.999996271398,976,120,120,10:00 -> 11:13,
8,T01,F08,C02,ATL,ORD,42315.00000129021,46706.99999987171,4391.999998581501,2591.999997561004,976,120,120,11:45 -> 12:58,
9,T01,F09,C02,ORD,LAX,49449.00000268592,61940.88786510914,12491.887862423224,10691.887859739267,2802,120,120,13:44 -> 17:12,
10,T01,F10,C01,LAX,ORD,64734.000001089524,76371.00000948024,11637.000008390714,9836.999976550693,2802,120,120,17:58 -> 21:12,
11,T01,F11,C03,ORD,LAX,80243.00000316979,92851.99977743073,12608.999774260941,10809.001041016381,2802,120,96,22:17 -> 01:47 (+1),
12,T02,F12,C04,ORD,ATL,20700.000001343913,25091.99999993039,4391.999998586478,2591.999995584567,976,120,96,05:45 -> 06:58,
