Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,SFO,DFW,26104.497844738355,36683.49784473836,10579.000000000007,160,128,07:15 -> 10:11,01:44,1
T00,F01,C00,DFW,JFK,47393.26739215165,57446.26739215165,10053.0,160,128,13:09 -> 15:57,00:21,1
T00,F02,C01,JFK,ATL,77891.0,83390.0,5499.0,160,128,21:38 -> 23:09,,0
T01,F03,C02,ORD,CLT,20340.0,24678.0,4338.0,200,160,05:39 -> 06:51,,0
T01,F04,C02,CLT,JFK,55564.0,59479.0,3915.0,200,160,15:26 -> 16:31,,0
T01,F05,C00,JFK,DFW,72092.0,82145.0,10053.0,200,160,20:01 -> 22:49,,0
T02,F06,C03,ATL,DFW,19920.0,25203.0,5283.0,200,160,05:32 -> 07:00,,0
T02,F07,C03,DFW,ATL,55212.0,60495.0,5283.0,200,160,15:20 -> 16:48,,0
T03,F22,C10,LAX,DFW,20805.918099474507,29728.91809947451,8923.000000000004,160,88,05:46 -> 08:15,00:16,1
T03,F09,C10,DFW,LAX,63622.92040354122,72545.92040354121,8922.999999999993,160,88,17:40 -> 20:09,01:27,1
T04,F10,C05,LAX,ORD,27647.07455792765,40256.074557927655,12609.000000000004,160,128,07:40 -> 11:10,02:01,1
T04,F11,C05,ORD,ATL,59584.076323652196,63976.076323652196,4392.0,160,128,16:33 -> 17:46,01:41,1
T04,F12,C03,ATL,ORD,79759.0,84151.0,4392.0,160,128,22:09 -> 23:22,,0
T05,F13,C06,ORD,JFK,19860.0,25201.0,5341.0,120,96,05:31 -> 07:00,,0
T05,F14,C06,JFK,ORD,43298.0,48639.0,5341.0,120,96,12:01 -> 13:30,,0
T05,F15,C06,ORD,LAX,76349.0,88958.0,12609.0,120,96,21:12 -> 00:42 (+1),,0
T06,F16,C07,JFK,ORD,21299.937481564586,26640.937481564586,5341.0,160,128,05:54 -> 07:24,00:09,1
T06,F17,C07,ORD,LAX,58511.0,71120.0,12609.0,160,128,16:15 -> 19:45,,0
T07,F18,C08,LAX,DEN,20400.0,26632.0,6232.0,160,128,05:40 -> 07:23,,0
T07,F19,C08,DEN,ATL,49983.0,58650.0,8667.0,160,128,13:53 -> 16:17,,0
T07,F20,C05,ATL,DEN,65776.0763236522,74443.0763236522,8667.0,160,128,18:16 -> 20:40,00:22,2
T07,F21,C09,DEN,ATL,78362.0,87029.0,8667.0,160,128,21:46 -> 00:10 (+1),,0
T08,F08,C04,LAX,DFW,20160.0,29083.0,8923.0,200,200,05:36 -> 08:04,,0
T08,F23,C04,DFW,LAX,59746.18451675577,68669.18451675578,8923.000000000007,200,200,16:35 -> 19:04,00:13,1
T08,F24,C04,LAX,DFW,73602.0,82525.0,8923.0,200,160,20:26 -> 22:55,,0
T09,F25,C11,ATL,DEN,20820.0,29487.0,8667.0,200,160,05:47 -> 08:11,,0
T09,F26,C11,DEN,ATL,40176.0,48843.0,8667.0,200,160,11:09 -> 13:34,,0
T09,F27,C08,ATL,DEN,62623.0,71290.0,8667.0,200,160,17:23 -> 19:48,,0
