index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,SEA,LAX,20580.0,27492.0,6912.0,5111.999998782131,1536,160,128,05:43 -> 07:38,,0
1,T00,F01,C00,LAX,DFW,45910.0,54833.0,8923.0,7122.999998182764,1983,160,128,12:45 -> 15:13,,0
2,T01,F14,C07,JFK,ATL,22398.02933286328,27897.02933286328,5499.0,3698.9999991942136,1222,120,59,06:13 -> 07:44,00:28,1
3,T01,F03,C01,ATL,PHX,35906.00001704817,47376.00001704817,11470.0,9669.999997371473,2549,120,96,09:58 -> 13:09,,0
4,T01,F04,C02,PHX,IAH,80030.0,87320.0,7290.0,5489.999998671982,1620,120,96,22:13 -> 00:15 (+1),,0
5,T02,F05,C03,DEN,ATL,31897.859391700003,40564.8593917,8667.0,6866.999997493117,1926,160,128,08:51 -> 11:16,03:02,1
6,T02,F06,C03,ATL,MIA,50303.0,54618.0,4315.0,2514.9999993096203,959,160,128,13:58 -> 15:10,,0
7,T02,F07,C03,MIA,DFW,59607.0,67716.0,8109.0,6308.999998317403,1802,160,128,16:33 -> 18:48,,0
8,T03,F08,C04,DEN,IAH,19920.000306178994,26161.000306178994,6241.0,4440.999998976147,1387,200,160,05:32 -> 07:16,,0
9,T03,F09,C04,IAH,MIA,36121.0,43091.0,6970.0,5169.999998767706,1549,200,160,10:02 -> 11:58,,0
10,T03,F10,C04,MIA,ORD,47642.0,56327.0,8685.0,6884.999998253868,1930,200,160,13:14 -> 15:38,,0
11,T03,F11,C05,ORD,LAX,76980.0,89589.0,12609.0,10808.999996961875,2802,200,160,21:23 -> 00:53 (+1),,0
12,T04,F12,C06,LAX,ORD,20940.000016637707,33549.00001661026,12608.999999972555,10808.945887269852,2802,160,129,05:49 -> 09:19,,0
13,T04,F13,C06,ORD,LAX,43629.02079131225,56238.02079131225,12609.0,10808.958385260828,2802,160,128,12:07 -> 15:37,,0
14,T05,F02,C01,JFK,ATL,20700.000009426632,26199.000009426632,5499.0,3698.9806390820736,1222,200,197,05:45 -> 07:16,00:11,2
