index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay
0,T00,F00,C02,LAX,ORD,27060.0,38697.00000042227,11637.000000422267,9836.999998938509,2802,12,2,07:31 -> 10:44,01:43
8,T01,F01,C00,ORD,LAX,34754.0,47362.99999462179,12608.999994621787,10808.999988887252,2802,12,3,09:39 -> 13:09,
9,T01,F02,C00,LAX,ORD,49733.99999984219,62342.99999149117,12608.999991648976,10808.999986480514,2802,12,10,13:48 -> 17:19,
10,T01,F03,C01,ORD,LAX,64748.0,77356.99999463372,12608.99999463372,10808.999988764539,2802,12,12,17:59 -> 21:29,
11,T01,F04,C01,LAX,ORD,80063.00000535588,92672.0,12608.999994644124,10808.999988827212,2802,12,12,22:14 -> 01:44 (+1),
7,T01,F05,C00,LAX,ORD,19980.0,32588.999994603415,12608.999994603415,10808.999989408307,2802,12,12,05:33 -> 09:03,
1,T00,F06,C02,ORD,LAX,40497.00000061852,52134.000001372835,11637.000000754313,9836.999999153993,2802,12,12,11:14 -> 14:28,01:11
2,T00,F07,C02,LAX,ORD,53934.00000116004,65571.00000216003,11637.000000999986,9836.999999401014,2802,12,9,14:58 -> 18:12,00:47
3,T00,F08,C00,ORD,ATL,67371.00000229651,71763.000000315,4391.999998018495,2591.9999973545864,976,12,6,18:42 -> 19:56,00:27
4,T00,F09,C03,ATL,ORD,73563.00000142604,77954.99999987507,4391.999998449028,2591.999997780902,976,12,6,20:26 -> 21:39,00:13
5,T00,F10,C03,ORD,ATL,79755.00000978236,84147.00000888138,4391.999999099018,2591.999998359733,976,12,12,22:09 -> 23:22,
6,T00,F11,C03,ATL,ORD,86628.00000288025,91020.00000189123,4391.999999010979,2591.9999982800873,976,12,12,00:03 (+1) -> 01:17 (+1),
