index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
0,T00,F00,C02,LAX,ORD,27060.000003096695,38722.925836878916,11662.925833782221,9862.925831778593,2802,12,6,07:31 -> 10:45
8,T01,F01,C00,ORD,LAX,35209.00000809618,47817.99999761757,12608.999989521384,10808.999986235549,2802,12,12,09:46 -> 13:16
9,T01,F02,C00,LAX,ORD,50139.00001075804,62747.99999939732,12608.999988639276,10808.999984843686,2802,12,12,13:55 -> 17:25
10,T01,F03,C01,ORD,LAX,64748.00001104327,77357.00000245353,12608.99999141026,10808.999987676452,2802,12,9,17:59 -> 21:29
11,T01,F04,C01,LAX,ORD,80063.00001178375,92672.00000376542,12608.999991981676,10808.99998924133,2802,12,9,22:14 -> 01:44 (+1)
7,T01,F05,C00,LAX,ORD,19980.00000675138,32588.999991302615,12608.999984551236,10808.999980247383,2802,12,12,05:33 -> 09:03
1,T00,F06,C02,ORD,LAX,40522.92584030748,52402.16525794642,11879.239417638943,10079.239416261382,2802,12,6,11:15 -> 14:33
2,T00,F07,C02,LAX,ORD,54202.16526033002,66301.46927263348,12099.304012303459,10299.304010064081,2802,12,6,15:03 -> 18:25
3,T00,F08,C00,ORD,ATL,68101.46927475696,72493.46927366924,4391.999998912273,2591.9999982403374,976,12,12,18:55 -> 20:08
4,T00,F09,C03,ATL,ORD,74293.46927633784,78685.46927533874,4391.999999000895,2591.9999983336374,976,12,9,20:38 -> 21:51
5,T00,F10,C03,ORD,ATL,80485.46927951605,84877.46927860288,4391.999999086824,2591.99999841155,976,12,6,22:21 -> 23:34
6,T00,F11,C03,ATL,ORD,86677.4692854508,91069.46928458347,4391.999999132662,2591.99999844227,976,12,9,00:04 (+1) -> 01:17 (+1)
