,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,T00,537,44,92%,7,7,0%
1,T01,524,50,90%,8,8,0%
2,T02,503,50,90%,6,6,0%
3,T03,531,49,91%,8,8,0%
4,T04,534,50,91%,10,10,0%
5,T05,418,43,90%,8,8,0%
6,T06,470,49,90%,9,9,0%
7,T07,725,48,93%,7,7,0%
8,T08,788,49,94%,10,10,0%
9,T09,586,49,92%,8,8,0%
10,T10,296,50,83%,7,7,0%
11,T11,481,50,90%,9,9,0%
12,T12,542,50,91%,9,9,0%
13,T13,684,48,93%,8,8,0%
14,T14,618,50,92%,9,9,0%
15,T15,678,50,93%,9,9,0%
16,T16,651,49,92%,9,9,0%
17,T17,598,49,92%,8,8,0%
18,T18,483,50,90%,7,7,0%
19,T19,678,50,93%,9,9,0%
