,entity,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
0,C00,564,50,91%,6,6,0%
1,C01,503,50,90%,3,3,0%
2,C02,524,50,90%,6,6,0%
3,C03,469,46,90%,5,5,0%
4,C04,690,41,94%,6,6,0%
5,C05,496,20,96%,3,3,0%
6,C06,287,49,83%,5,5,0%
7,C07,496,20,96%,3,3,0%
8,C08,537,49,91%,2,2,0%
9,C09,400,49,88%,7,7,0%
10,C10,518,50,90%,5,5,0%
11,C11,508,46,91%,6,6,0%
12,C12,498,47,91%,4,4,0%
13,C13,691,49,93%,7,7,0%
14,C14,534,50,91%,4,4,0%
15,C15,731,49,93%,5,5,0%
16,C16,720,50,93%,4,4,0%
17,C17,581,50,91%,7,7,0%
18,C18,782,49,94%,3,3,0%
19,C19,433,49,89%,7,7,0%
20,C20,413,50,88%,3,3,0%
21,C21,720,41,94%,6,6,0%
22,C22,418,49,88%,6,6,0%
23,C23,607,43,93%,8,8,0%
24,C24,472,46,90%,3,3,0%
25,C25,451,50,89%,6,6,0%
26,C26,369,50,86%,3,3,0%
27,C27,508,50,90%,2,2,0%
28,C28,720,50,93%,6,6,0%
29,C29,558,35,94%,4,4,0%
30,C30,609,50,92%,6,6,0%
31,C31,622,49,92%,4,4,0%
32,C32,358,49,86%,6,6,0%
33,C33,598,50,92%,2,2,0%
34,C34,782,49,94%,5,5,0%
35,C35,618,45,93%,6,6,0%
36,C36,535,50,91%,2,2,0%
37,C37,599,47,92%,6,6,0%
38,C38,543,50,91%,2,2,0%
