Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,MCO,PHL,19860.0,26106.0,6246.0,160,128,05:31 -> 07:15,,0
T00,F01,C00,PHL,MCO,41754.0,48000.0,6246.0,160,128,11:35 -> 13:20,,0
T00,F02,C00,MCO,DTW,66099.0,73042.0,6943.0,160,128,18:21 -> 20:17,,0
T00,F03,C01,DTW,ATL,84480.0,88791.0,4311.0,160,128,23:28 -> 00:39 (+1),,0
T01,F04,C02,PHX,ATL,19980.0,31450.0,11470.0,120,96,05:33 -> 08:44,,0
T01,F05,C02,ATL,DEN,66024.93880720779,74691.93880720779,8667.0,120,96,18:20 -> 20:44,02:36,1
T02,F06,C03,EWR,DTW,20760.0,24283.0,3523.0,160,128,05:46 -> 06:44,,0
T02,F07,C03,DTW,EWR,44848.0,48371.0,3523.0,160,128,12:27 -> 13:26,,0
T02,F08,C03,EWR,MIA,74784.0,82659.0,7875.0,160,128,20:46 -> 22:57,,0
T02,F09,C04,MIA,IAH,84498.0,91468.0,6970.0,160,128,23:28 -> 01:24 (+1),,0
T03,F10,C05,CLT,EWR,20220.0,24045.0,3825.0,200,160,05:37 -> 06:40,,0
T03,F11,C05,EWR,CLT,44415.0,48240.0,3825.0,200,160,12:20 -> 13:24,,0
T03,F12,C05,CLT,MCO,84008.0,87405.0,3397.0,200,160,23:20 -> 00:16 (+1),,0
T04,F13,C06,BOS,ATL,20400.0,27244.0,6844.0,120,96,05:40 -> 07:34,,0
T04,F14,C06,ATL,JFK,62007.0,67506.0,5499.0,120,96,17:13 -> 18:45,,0
T04,F15,C06,JFK,DFW,82469.0,92522.0,10053.0,120,96,22:54 -> 01:42 (+1),,0
T05,F30,C14,ORD,JFK,20220.0,25561.0,5341.0,160,128,05:37 -> 07:06,,0
T05,F31,C14,JFK,ORD,42274.0,47615.0,5341.0,160,128,11:44 -> 13:13,,0
T05,F18,C08,ORD,CLT,49415.0,53753.0,4338.0,160,128,13:43 -> 14:55,00:57,2
T05,F19,C08,CLT,JFK,80750.0,84665.0,3915.0,160,128,22:25 -> 23:31,,0
T06,F20,C09,EWR,DEN,32057.616256351386,43649.616256351386,11592.0,160,128,08:54 -> 12:07,03:09,1
T06,F21,C09,DEN,JFK,65451.0,77191.0,11740.0,160,128,18:10 -> 21:26,,0
T07,F22,C10,ATL,EWR,21631.57804954898,27026.578049548978,5394.999999999996,120,96,06:00 -> 07:30,00:22,1
T07,F23,C10,EWR,DTW,54649.0,58172.0,3523.0,120,96,15:10 -> 16:09,,0
T07,F24,C00,DTW,EWR,83832.0,87355.0,3523.0,120,96,23:17 -> 00:15 (+1),,0
T08,F25,C11,DFW,SFO,21000.0,31579.0,10579.0,120,96,05:50 -> 08:46,,0
T08,F26,C11,SFO,DFW,37472.0,48051.0,10579.0,120,96,10:24 -> 13:20,,0
T08,F27,C12,DFW,SFO,78368.0,88947.0,10579.0,120,96,21:46 -> 00:42 (+1),,0
T09,F28,C13,DFW,LAX,20700.0,29623.0,8923.0,120,96,05:45 -> 08:13,,0
T09,F29,C13,LAX,DFW,63467.0,72390.0,8923.0,120,96,17:37 -> 20:06,,0
T10,F16,C07,ORD,MCO,19920.0,27210.0,7290.0,160,128,05:32 -> 07:33,,0
T10,F17,C07,MCO,ORD,41258.26525412395,48548.26525412395,7290.0,160,128,11:27 -> 13:29,01:58,1
T10,F32,C07,ORD,PHX,65390.0,75798.0,10408.0,160,128,18:09 -> 21:03,,0
T11,F33,C15,DEN,JFK,20160.0,31900.0,11740.0,200,160,05:36 -> 08:51,,0
T11,F34,C15,JFK,DFW,56826.0,66879.0,10053.0,200,160,15:47 -> 18:34,,0
T12,F35,C16,MCO,DTW,20880.0,27823.0,6943.0,160,128,05:48 -> 07:43,,0
T12,F36,C16,DTW,ATL,51816.0,56127.0,4311.0,160,128,14:23 -> 15:35,,0
T12,F37,C16,ATL,DTW,73589.0,77900.0,4311.0,160,128,20:26 -> 21:38,,0
T12,F38,C10,DTW,DFW,84311.0,91448.0,7137.0,160,128,23:25 -> 01:24 (+1),,0
T13,F39,C17,ATL,ORD,20940.0,25332.0,4392.0,120,96,05:49 -> 07:02,,0
T13,F40,C17,ORD,ATL,35320.0,39712.0,4392.0,120,96,09:48 -> 11:01,,0
T13,F41,C17,ATL,MIA,71451.0,75766.0,4315.0,120,96,19:50 -> 21:02,,0
T13,F42,C17,MIA,ATL,79165.0,83480.0,4315.0,120,96,21:59 -> 23:11,,0
T14,F43,C18,LGA,ORD,19800.0,25096.0,5296.0,200,160,05:30 -> 06:58,,0
T14,F44,C18,ORD,BOS,37568.0,43827.0,6259.0,200,160,10:26 -> 12:10,,0
T14,F45,C18,BOS,DFW,79807.0,91097.0,11290.0,200,160,22:10 -> 01:18 (+1),,0
T15,F46,C19,ATL,MCO,20760.0,23685.0,2925.0,200,160,05:46 -> 06:34,,0
T15,F47,C19,MCO,ATL,46290.0,49215.0,2925.0,200,160,12:51 -> 13:40,,0
T15,F48,C19,ATL,MCO,74563.0,77488.0,2925.0,200,160,20:42 -> 21:31,,0
T15,F49,C19,MCO,ATL,83247.0,86172.0,2925.0,200,160,23:07 -> 23:56,,0
T16,F50,C20,LAS,SEA,19800.0,26077.0,6277.0,120,96,05:30 -> 07:14,,0
T16,F51,C20,SEA,DEN,36757.0,44159.0,7402.0,120,96,10:12 -> 12:15,,0
T16,F52,C02,DEN,EWR,76491.93880720779,88083.93880720779,11592.0,120,96,21:14 -> 00:28 (+1),00:24,2
T17,F53,C21,DEN,SFO,26632.671332957827,33616.671332957834,6984.000000000007,200,160,07:23 -> 09:20,01:47,1
T17,F54,C22,SFO,DEN,35416.671332957834,42400.671332957834,6984.0,200,160,09:50 -> 11:46,00:28,2
T17,F55,C20,DEN,SFO,55021.0,62005.0,6984.0,200,160,15:17 -> 17:13,,0
T17,F56,C21,SFO,DEN,73026.0,80010.0,6984.0,200,160,20:17 -> 22:13,,0
T18,F57,C23,MSP,BOS,20220.0,28338.0,8118.0,120,96,05:37 -> 07:52,,0
T18,F58,C23,BOS,MSP,59448.0,67566.0,8118.0,120,96,16:30 -> 18:46,,0
T18,F59,C24,MSP,CLT,76753.99397064767,83485.99397064767,6732.0,120,96,21:19 -> 23:11,01:01,1
T19,F60,C25,MSP,BOS,20580.0,28698.0,8118.0,120,96,05:43 -> 07:58,,0
T19,F61,C25,BOS,MSP,53997.0,62115.0,8118.0,120,96,14:59 -> 17:15,,0
