index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,LAX,19920.0,32529.0,12609.0,10808.999994929642,2802,6,4,05:32 -> 09:02,,0
1,T00,F01,C00,LAX,SEA,61995.0,68907.0,6912.0,5111.9999190151675,1536,6,4,17:13 -> 19:08,,0
2,T00,F02,C01,SEA,SFO,71929.00000076376,76847.0,4917.999999236243,3117.9999992362373,1093,6,4,19:58 -> 21:20,,0
3,T01,F03,C02,BOS,DTW,33842.61849066795,38405.61848999688,4562.999999328931,2762.9999993289325,1014,8,5,09:24 -> 10:40,03:40,1
4,T01,F04,C02,DTW,DEN,56792.0,64900.99999819721,8108.999998197207,6308.99999819721,1802,8,5,15:46 -> 18:01,,0
5,T02,F05,C03,CLT,LGA,20220.0,24153.0,3933.0,2133.0000068249815,874,6,4,05:37 -> 06:42,,0
6,T02,F06,C03,LGA,FLL,30628.0,38430.99999870014,7802.999998700143,6002.999996757921,1734,6,4,08:30 -> 10:40,,0
7,T02,F07,C03,FLL,ATL,46450.0,50662.0,4212.0,2412.0000122644274,936,6,4,12:54 -> 14:04,,0
8,T02,F08,C04,ATL,FLL,83467.00000033501,87679.0,4211.999999664986,2411.9999991624495,936,6,4,23:11 -> 00:21 (+1),,0
9,T03,F09,C05,SEA,LAX,33098.02379144656,40010.02379082823,6911.999999381667,5111.999951421974,1536,6,2,09:11 -> 11:06,03:27,1
10,T03,F10,C05,LAX,ORD,41810.023806295925,54419.02380422478,12608.999997928855,10808.999980551296,2802,6,4,11:36 -> 15:06,00:48,2
11,T03,F11,C06,ORD,IAH,75935.0,82640.0,6705.0,4904.999996400602,1490,6,4,21:05 -> 22:57,,0
12,T04,F12,C07,CLT,PHX,20400.0,33216.0,12816.0,11015.999991378161,2848,10,8,05:40 -> 09:13,,0
13,T04,F13,C07,PHX,ATL,66426.62001436065,77896.62001174704,11469.999997386389,9669.999988221954,2549,10,8,18:27 -> 21:38,00:23,1
