index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay
0,T00,F00,C00,LAX,ORD,20700.0,33309.0,12609.0,10808.999961216241,2802,6,4,05:45 -> 09:15,
1,T00,F05,C02,ORD,ATL,53865.0,58257.0,4392.0,2591.999999247424,976,6,2,14:57 -> 16:10,05:00
2,T00,F02,C01,ATL,ORD,60057.0,64449.0,4392.0,2591.999999365664,976,6,4,16:40 -> 17:54,01:25
3,T00,F03,C01,ORD,LAX,70816.0,83425.0,12609.0,10808.999961216241,2802,6,4,19:40 -> 23:10,
4,T01,F04,C02,LAX,ORD,20100.0,32709.0,12609.0,10809.000000113154,2802,6,4,05:35 -> 09:05,
5,T01,F01,C00,ORD,ATL,43404.0,47796.0,4392.0,2591.9999992799135,976,6,6,12:03 -> 13:16,
6,T01,F06,C03,ATL,ORD,49596.0,53988.0,4392.0,2591.9999991973036,976,6,4,13:46 -> 14:59,01:58
7,T01,F07,C03,ORD,LAX,55788.0,68397.0,12609.0,10808.999996914365,2802,6,4,15:29 -> 18:59,01:35
8,T01,F08,C04,LAX,ORD,73636.0,86245.0,12609.0,10809.0,2802,6,4,20:27 -> 23:57,
9,T02,F09,C05,ORD,ATL,20100.0,24492.0,4392.0,2591.9999991752256,976,6,4,05:35 -> 06:48,
10,T02,F10,C05,ATL,ORD,28723.0,33115.0,4392.0,2591.9999991655773,976,6,4,07:58 -> 09:11,
11,T02,F11,C05,ORD,LAX,37986.0,50595.0,12609.0,10809.000000321554,2802,6,4,10:33 -> 14:03,
12,T02,F12,C06,LAX,ORD,53220.0,65829.0,12609.0,10809.000000330405,2802,6,4,14:47 -> 18:17,
13,T02,F13,C06,ORD,LAX,76941.0,89550.0,12609.0,10808.999956776795,2802,6,4,21:22 -> 00:52 (+1),
