entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
T00,588,13,98%,4172,15,100%,4,4,0%
T01,461,15,97%,2504,21,99%,4,4,0%
T02,270,9,97%,1054,11,99%,4,4,0%
T03,689,16,98%,5752,24,100%,4,4,0%
T04,450,12,97%,2674,16,99%,5,5,0%
T05,257,17,93%,949,21,98%,4,4,0%
T06,506,16,97%,2960,22,99%,4,4,0%
T07,602,11,98%,4626,12,100%,4,4,0%
T08,755,15,98%,6718,19,100%,6,6,0%
T09,458,14,97%,2754,19,99%,5,5,0%
T10,80,18,78%,204,24,88%,5,5,0%
T100,622,18,97%,4747,25,99%,5,5,0%
T101,544,11,98%,3407,12,100%,4,4,0%
T102,247,17,93%,925,23,98%,5,5,0%
T103,614,17,97%,4350,24,99%,4,4,0%
T104,406,19,95%,2485,24,99%,5,5,0%
T105,668,16,98%,5301,20,100%,6,6,0%
T106,257,5,98%,1082,4,100%,4,4,0%
T107,613,16,97%,4429,25,99%,5,5,0%
T108,678,17,97%,5417,22,100%,6,6,0%
T109,424,18,96%,2278,24,99%,5,5,0%
T11,657,12,98%,5289,15,100%,5,5,0%
T110,467,10,98%,3101,11,100%,4,4,0%
T111,545,13,98%,3669,18,100%,5,5,0%
T112,631,16,97%,4866,22,100%,5,5,0%
T113,653,17,97%,4996,25,99%,5,5,0%
T114,569,17,97%,4095,24,99%,4,4,0%
T115,348,12,97%,1957,15,99%,6,6,0%
T116,580,12,98%,4063,14,100%,5,5,0%
T117,649,13,98%,5122,17,100%,5,5,0%
T118,343,20,94%,1882,24,99%,4,4,0%
T119,621,18,97%,4650,24,99%,5,5,0%
T12,431,11,97%,2311,13,99%,6,6,0%
T120,516,8,98%,3386,10,100%,5,5,0%
T121,564,5,99%,3746,5,100%,4,4,0%
T122,663,15,98%,5285,22,100%,6,6,0%
T123,337,17,95%,1767,24,99%,4,4,0%
T124,280,17,94%,1420,25,98%,5,5,0%
T125,563,17,97%,3721,24,99%,4,4,0%
T126,489,14,97%,2893,19,99%,4,4,0%
T127,281,18,94%,1277,25,98%,4,4,0%
T128,568,16,97%,3821,17,100%,5,5,0%
T129,673,15,98%,5556,22,100%,4,4,0%
T13,535,17,97%,3393,22,99%,6,6,0%
T130,21,16,24%,32,24,25%,4,4,0%
T131,684,17,98%,5567,23,100%,4,4,0%
T132,627,17,97%,4683,25,99%,5,5,0%
T133,661,17,97%,5269,21,100%,5,5,0%
T134,590,6,99%,4198,7,100%,4,4,0%
T135,372,16,96%,1954,23,99%,5,5,0%
T136,247,18,93%,875,25,97%,5,5,0%
T137,501,5,99%,2978,4,100%,4,4,0%
T138,532,19,96%,3541,25,99%,6,6,0%
T139,543,17,97%,3635,25,99%,5,5,0%
T14,510,19,96%,3075,23,99%,5,5,0%
T140,13,13,0%,16,16,0%,5,5,0%
T141,579,18,97%,3848,25,99%,4,4,0%
T142,427,16,96%,2420,22,99%,5,5,0%
T143,360,20,94%,1659,25,98%,4,4,0%
T144,545,17,97%,3670,23,99%,6,6,0%
T145,497,19,96%,2998,25,99%,5,5,0%
T146,591,16,97%,4304,22,99%,5,5,0%
T147,629,13,98%,4665,15,100%,6,6,0%
T148,514,18,96%,3274,25,99%,4,4,0%
T149,631,17,97%,4665,25,99%,4,4,0%
T15,613,11,98%,4625,14,100%,6,6,0%
T150,522,10,98%,3384,10,100%,6,6,0%
T151,546,16,97%,3671,20,99%,5,5,0%
T152,704,18,97%,5795,25,100%,6,6,0%
T153,526,14,97%,3287,23,99%,4,4,0%
T154,666,9,99%,5164,11,100%,6,6,0%
T155,659,15,98%,5311,23,100%,5,5,0%
T156,695,19,97%,5677,25,100%,5,5,0%
T157,247,12,95%,1024,17,98%,4,4,0%
T158,210,12,94%,684,14,98%,4,4,0%
T159,638,18,97%,4701,24,99%,4,4,0%
T16,555,5,99%,3772,5,100%,4,4,0%
T160,518,7,99%,3310,7,100%,5,5,0%
T161,642,20,97%,5020,24,100%,4,4,0%
T162,250,11,96%,819,12,99%,4,4,0%
T163,674,17,97%,5398,22,100%,5,5,0%
T164,580,17,97%,4064,24,99%,5,5,0%
T165,529,17,97%,3252,21,99%,4,4,0%
T166,436,15,97%,2347,24,99%,6,6,0%
T167,301,19,94%,1380,25,98%,4,4,0%
T168,472,12,97%,3062,16,99%,4,4,0%
T169,622,17,97%,4756,25,99%,4,4,0%
T17,453,12,97%,2621,15,99%,4,4,0%
T170,566,16,97%,4076,21,99%,5,5,0%
T171,6,6,0%,7,7,0%,5,5,0%
T172,488,7,99%,3261,8,100%,6,6,0%
T173,370,17,95%,1769,22,99%,5,5,0%
T174,678,18,97%,5278,23,100%,4,4,0%
T175,471,6,99%,2688,7,100%,5,5,0%
T176,579,18,97%,4220,25,99%,5,5,0%
T177,457,19,96%,2773,25,99%,6,6,0%
T178,607,18,97%,4502,25,99%,5,5,0%
T179,544,14,97%,3439,17,100%,5,5,0%
T18,428,5,99%,2259,4,100%,4,4,0%
T180,381,18,95%,2192,24,99%,4,4,0%
T181,681,17,98%,5633,24,100%,6,6,0%
T182,422,18,96%,2234,25,99%,4,4,0%
T183,587,16,97%,4309,19,100%,5,5,0%
T184,233,12,95%,837,14,98%,5,5,0%
T185,272,19,93%,959,25,97%,5,5,0%
T186,632,20,97%,4878,25,99%,5,5,0%
T187,558,17,97%,3969,25,99%,5,5,0%
T188,540,11,98%,3604,16,100%,5,5,0%
T189,225,5,98%,876,4,100%,4,4,0%
T19,192,15,92%,633,20,97%,5,5,0%
T190,713,17,98%,5994,23,100%,5,5,0%
T191,559,17,97%,3645,25,99%,6,6,0%
T192,514,7,99%,3303,8,100%,4,4,0%
T193,619,14,98%,4505,19,100%,5,5,0%
T194,35,18,49%,60,25,58%,3,3,0%
T195,498,18,96%,3174,24,99%,5,5,0%
T196,684,18,97%,5447,24,100%,5,5,0%
T197,47,16,66%,97,22,77%,3,3,0%
T198,54,18,67%,135,25,81%,5,5,0%
T199,629,18,97%,4665,24,99%,4,4,0%
T20,485,19,96%,2775,24,99%,5,5,0%
T200,617,13,98%,4549,17,100%,4,4,0%
T201,6,6,0%,6,6,0%,5,5,0%
T202,554,15,97%,3722,21,99%,4,4,0%
T203,699,17,98%,5810,23,100%,5,5,0%
T204,561,19,97%,3777,24,99%,6,6,0%
T205,150,16,89%,550,24,96%,5,5,0%
T206,517,6,99%,3380,5,100%,5,5,0%
T207,565,16,97%,3831,23,99%,5,5,0%
T208,546,14,97%,3532,19,99%,4,4,0%
T209,43,15,65%,73,19,74%,4,4,0%
T21,453,18,96%,2626,24,99%,4,4,0%
T210,578,16,97%,3860,25,99%,5,5,0%
T211,10,10,0%,12,12,0%,5,5,0%
T212,516,16,97%,3372,24,99%,4,4,0%
T213,642,20,97%,5020,25,100%,5,5,0%
T214,637,17,97%,5011,23,100%,5,5,0%
T215,675,11,98%,5516,14,100%,6,6,0%
T216,533,16,97%,3478,22,99%,5,5,0%
T217,489,19,96%,3011,25,99%,4,4,0%
T218,11,11,0%,12,12,0%,5,5,0%
T219,318,11,97%,1337,11,99%,5,5,0%
T22,650,6,99%,5165,5,100%,5,5,0%
T220,487,13,97%,3062,18,99%,5,5,0%
T221,549,16,97%,3596,24,99%,5,5,0%
T222,641,15,98%,5057,20,100%,6,6,0%
T223,497,17,97%,2896,23,99%,5,5,0%
T224,329,11,97%,1782,15,99%,5,5,0%
T225,436,14,97%,2469,20,99%,5,5,0%
T226,638,19,97%,5010,25,100%,5,5,0%
T227,502,10,98%,3230,10,100%,5,5,0%
T228,488,16,97%,2959,20,99%,5,5,0%
T229,561,17,97%,4001,25,99%,5,5,0%
T23,516,5,99%,3043,4,100%,4,4,0%
T230,563,17,97%,3716,24,99%,6,6,0%
T231,587,16,97%,4100,25,99%,4,4,0%
T232,446,17,96%,2618,23,99%,5,5,0%
T233,58,10,83%,106,13,88%,4,4,0%
T234,644,13,98%,5059,14,100%,6,6,0%
T235,635,16,97%,4743,21,100%,5,5,0%
T236,598,15,97%,4216,19,100%,6,6,0%
T237,310,15,95%,1246,23,98%,5,5,0%
T238,661,19,97%,5232,24,100%,6,6,0%
T239,563,16,97%,3594,20,99%,5,5,0%
T24,444,6,99%,2679,6,100%,5,5,0%
T240,539,17,97%,3436,24,99%,5,5,0%
T241,459,14,97%,2593,24,99%,4,4,0%
T242,104,7,93%,270,7,97%,4,4,0%
T243,436,17,96%,2715,23,99%,5,5,0%
T244,665,5,99%,5346,4,100%,4,4,0%
T245,508,18,96%,3085,25,99%,4,4,0%
T246,699,18,97%,5695,24,100%,4,4,0%
T247,570,10,98%,3826,15,100%,4,4,0%
T248,556,16,97%,3927,23,99%,4,4,0%
T249,639,10,98%,4987,11,100%,5,5,0%
T25,613,13,98%,4530,15,100%,6,6,0%
T250,647,16,98%,5054,22,100%,5,5,0%
T251,639,19,97%,4979,24,100%,6,6,0%
T252,491,15,97%,3169,19,99%,6,6,0%
T253,574,8,99%,4016,11,100%,5,5,0%
T254,693,15,98%,5593,23,100%,4,4,0%
T255,310,17,95%,1469,24,98%,4,4,0%
T256,554,15,97%,3733,19,99%,4,4,0%
T257,636,15,98%,5034,20,100%,5,5,0%
T258,643,8,99%,5034,9,100%,5,5,0%
T259,601,17,97%,4467,24,99%,5,5,0%
T26,671,11,98%,5432,14,100%,5,5,0%
T260,544,15,97%,3512,23,99%,4,4,0%
T261,604,16,97%,4541,21,100%,4,4,0%
T262,678,17,97%,5567,25,100%,4,4,0%
T263,579,14,98%,3882,19,100%,5,5,0%
T264,650,14,98%,5165,21,100%,5,5,0%
T265,350,15,96%,1984,24,99%,5,5,0%
T266,5,5,0%,5,5,0%,4,4,0%
T267,453,17,96%,2621,22,99%,4,4,0%
T268,471,16,97%,2703,19,99%,4,4,0%
T269,492,14,97%,2900,18,99%,4,4,0%
T27,657,15,98%,5121,22,100%,5,5,0%
T270,605,15,98%,4334,18,100%,4,4,0%
T271,528,20,96%,3519,24,99%,6,6,0%
T272,496,18,96%,2915,22,99%,4,4,0%
T273,560,14,98%,3740,20,99%,5,5,0%
T274,349,6,98%,1831,6,100%,5,5,0%
T275,498,19,96%,3133,24,99%,4,4,0%
T276,445,14,97%,2889,22,99%,5,5,0%
T277,534,7,99%,3379,8,100%,6,6,0%
T278,272,6,98%,1202,7,99%,5,5,0%
T279,600,15,98%,4264,19,100%,5,5,0%
T28,591,18,97%,4294,24,99%,5,5,0%
T280,602,16,97%,4466,22,100%,5,5,0%
T281,474,15,97%,2786,19,99%,5,5,0%
T282,618,17,97%,4783,22,100%,5,5,0%
T283,468,15,97%,2680,24,99%,6,6,0%
T284,689,15,98%,5752,25,100%,6,6,0%
T285,545,15,97%,3560,21,99%,6,6,0%
T286,509,19,96%,2865,25,99%,4,4,0%
T287,264,17,94%,1286,25,98%,4,4,0%
T288,521,8,98%,3224,9,100%,5,5,0%
T289,639,9,99%,4862,12,100%,4,4,0%
T29,448,5,99%,2611,5,100%,4,4,0%
T290,650,16,98%,5165,25,100%,5,5,0%
T291,591,15,97%,4338,19,100%,4,4,0%
T292,5,5,0%,6,6,0%,4,4,0%
T293,666,5,99%,5164,6,100%,4,4,0%
T294,237,13,95%,828,15,98%,4,4,0%
T295,665,16,98%,5369,23,100%,5,5,0%
T296,609,15,98%,4576,19,100%,4,4,0%
T297,606,19,97%,4247,25,99%,5,5,0%
T298,689,16,98%,5702,25,100%,4,4,0%
T299,497,19,96%,2998,24,99%,4,4,0%
T30,613,18,97%,4266,23,99%,5,5,0%
T300,507,6,99%,3091,5,100%,5,5,0%
T301,362,14,96%,1633,17,99%,5,5,0%
T302,329,14,96%,1566,23,99%,6,6,0%
T303,440,13,97%,2383,22,99%,4,4,0%
T304,572,16,97%,4183,23,99%,5,5,0%
T305,5,5,0%,6,6,0%,4,4,0%
T306,335,17,95%,1335,25,98%,4,4,0%
T307,714,13,98%,5951,16,100%,4,4,0%
T308,397,14,96%,2095,24,99%,4,4,0%
