Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,T00F00,C00,ORD,JFK,20760.000017615872,26101.000016308815,5340.999998692943,3540.999995306321,1187,12,12,05:46 -> 07:15
T00,T00F01,C00,JFK,DFW,27914.000026019003,37967.000021846856,10052.999995827853,8252.999985476697,2234,12,12,07:45 -> 10:32
T00,T00F02,C00,DFW,LAX,40595.000037705824,49518.00003440424,8922.999996698418,7122.999990096313,1983,12,12,11:16 -> 13:45
T00,T00F03,C00,LAX,DEN,51492.00001764517,57724.00001578722,6231.999998142048,4431.9999943096955,1385,12,11,14:18 -> 16:02
T00,T00F04,C01,DEN,LAX,60506.00001972234,66738.000017971,6231.999998248662,4431.999993666711,1385,12,12,16:48 -> 18:32
T00,T00F05,C01,LAX,DFW,68942.00002247242,77865.00001909898,8922.99999662656,7122.99998866804,1983,12,8,19:09 -> 21:37
T00,T00F06,C01,DFW,LAX,84677.00000378829,93600.0,8922.999996211714,7122.999765905244,1983,12,0,23:31 -> 02:00
T01,T01F00,C02,LAX,ORD,20820.0000183422,33429.000002392284,12608.999984050082,10808.999974316519,2802,12,10,05:47 -> 09:17
T01,T01F01,C02,ORD,JFK,35425.00006947091,40766.00006826473,5340.999998793821,3540.999996186567,1187,12,8,09:50 -> 11:19
T01,T01F02,C02,JFK,DFW,43544.00002250929,53597.00001843771,10052.999995928425,8252.99998821045,2234,12,9,12:05 -> 14:53
T01,T01F03,C02,DFW,JFK,55858.0000177497,65911.00001363407,10052.99999588437,8252.999986415907,2234,12,11,15:30 -> 18:18
T01,T01F04,C03,JFK,ATL,68582.00001762272,74081.00001616094,5498.9999985382165,3698.9999954873365,1222,12,10,19:03 -> 20:34
T01,T01F05,C03,ATL,JFK,76709.00001761779,82208.00001627108,5498.999998653293,3698.9999958452495,1222,12,12,21:18 -> 22:50
T02,T02F00,C04,ATL,ORD,20520.000030558942,24912.00002960447,4391.999999045529,2591.9999974780712,976,12,10,05:42 -> 06:55
T02,T02F01,C04,ORD,ATL,27334.00001759845,31726.000016688165,4391.999999089716,2591.9999972549886,976,12,10,07:35 -> 08:48
T02,T02F02,C04,ATL,DFW,34038.00002234944,39321.00002103212,5282.999998682681,3482.999995913686,1174,12,12,09:27 -> 10:55
T02,T02F03,C04,DFW,ATL,41780.00001761507,47063.00001627651,5282.999998661442,3482.9999958767075,1174,12,12,11:36 -> 13:04
T02,T02F04,C04,ATL,DFW,48907.00002583333,54190.00002452151,5282.999998688181,3482.999995940271,1174,12,10,13:35 -> 15:03
T02,T02F05,C04,DFW,ATL,56754.00001969846,62037.0000184247,5282.9999987262345,3482.9999953758843,1174,12,11,15:45 -> 17:13
T02,T02F06,C05,ATL,DFW,64175.000022347514,69458.00002108443,5282.999998736916,3482.999995413642,1174,12,9,17:49 -> 19:17
T02,T02F07,C05,DFW,ATL,72405.00002234406,77688.00002111719,5282.999998773128,3482.9999961287804,1174,12,12,20:06 -> 21:34
T02,T02F08,C05,ATL,JFK,80386.00003057835,85885.00002927144,5498.9999986930925,3698.9999958455705,1222,12,5,22:19 -> 23:51
T02,T02F09,C02,JFK,ATL,87695.00002235603,93194.00002094498,5498.999998588944,3698.9999962782626,1222,12,7,00:21 -> 01:53
T03,T03F00,C06,DEN,ORD,19980.000017718772,26397.000014238754,6416.999996519982,4616.999993179536,1426,12,12,05:33 -> 07:19
T03,T03F01,C06,ORD,LAX,28769.000022703996,41378.00001538226,12608.999992678266,10808.99997895598,2802,12,12,07:59 -> 11:29
T03,T03F02,C06,LAX,ORD,43527.00001790477,56136.000010603326,12608.999992698555,10808.99997210741,2802,12,11,12:05 -> 15:35
T03,T03F03,C07,ORD,DEN,58554.000017637234,64971.0000158719,6416.9999982346635,4616.99999207819,1426,12,10,16:15 -> 18:02
T03,T03F04,C00,DEN,LAX,67590.00002235964,73822.00002083497,6231.999998475323,4431.999992937244,1385,12,10,18:46 -> 20:30
T03,T03F05,C08,LAX,DFW,75911.00002247523,84834.00001899959,8922.999996524362,7122.9999916476,1983,12,7,21:05 -> 23:33
T03,T03F06,C08,DFW,ATL,87135.0000223478,92418.00002105332,5282.99999870552,3482.9999965696406,1174,12,8,00:12 -> 01:40
T04,T04F00,C09,ATL,DFW,19860.000017621165,25143.00001618293,5282.999998561765,3482.9999962036377,1174,12,12,05:31 -> 06:59
T04,T04F01,C09,DFW,LAX,27584.00001774376,36507.00001372947,8922.999995985709,7122.999990374634,1983,12,12,07:39 -> 10:08
T04,T04F02,C09,LAX,DFW,38730.00001771435,47653.00001434403,8922.999996629675,7122.999987510851,1983,12,11,10:45 -> 13:14
T04,T04F03,C09,DFW,DEN,50279.00001760179,54923.00001657112,4643.999998969324,2843.9999968345073,1032,12,12,13:57 -> 15:15
T04,T04F04,C09,DEN,JFK,57017.00001992896,68757.00001429544,11739.99999436648,9939.999981817473,2609,12,8,15:50 -> 19:05
T04,T04F05,C10,JFK,DEN,70727.00001819848,82467.00000505644,11739.999986857962,9939.999978203585,2609,12,9,19:38 -> 22:54
T04,T04F06,C07,DEN,ORD,85058.00001766343,91475.00001530751,6416.999997644074,4616.999683598376,1426,12,9,23:37 -> 01:24
