index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ATL,ORD,30720.0,35112.0,4392.0,2591.9999988923296,976,6,4,08:32 -> 09:45,03:00,1
1,T00,F01,C05,ORD,ATL,51270.0,55662.0,4392.0,2591.999998890676,976,6,2,14:14 -> 15:27,02:00,1
2,T00,F13,C05,ATL,ORD,73054.0,77446.0,4392.0,2591.9999988331283,976,6,6,20:17 -> 21:30,02:00,1
3,T00,F03,C00,ORD,DFW,87088.0,92893.0,5805.0,4004.9999977381376,1290,6,4,00:11 (+1) -> 01:48 (+1),03:00,1
4,T01,F04,C01,ATL,DFW,19800.0,25083.0,5283.0,3482.9999986306398,1174,8,6,05:30 -> 06:58,,0
5,T01,F05,C01,DFW,ORD,47035.0,52840.0,5805.0,4004.9999981572923,1290,8,6,13:03 -> 14:40,,0
6,T01,F06,C01,ORD,DFW,58579.0,64384.0,5805.0,4004.9999973368786,1290,8,6,16:16 -> 17:53,,0
7,T01,F07,C02,DFW,ATL,70037.0,75320.0,5283.0,3482.99999838645,1174,8,6,19:27 -> 20:55,,0
8,T02,F08,C03,ORD,LAX,20880.0,33489.0,12609.0,10808.99999575487,2802,8,6,05:48 -> 09:18,,0
9,T02,F09,C03,LAX,ORD,56643.0,69252.0,12609.0,10808.999984117712,2802,8,6,15:44 -> 19:14,,0
10,T02,F10,C04,ORD,DFW,87790.0,93595.0,5805.0,4004.9999981413102,1290,8,6,00:23 (+1) -> 01:59 (+1),,0
11,T03,F11,C05,DFW,ORD,20460.0,26265.0,5805.0,4004.9999982352706,1290,8,6,05:41 -> 07:17,,0
12,T03,F12,C00,ORD,ATL,44132.0,48524.0,4392.0,2591.999998923789,976,8,8,12:15 -> 13:28,,0
13,T03,F02,C00,ATL,ORD,54973.0,59365.0,4392.0,2591.999998867468,976,8,4,15:16 -> 16:29,,0
14,T04,F14,C06,ORD,LAX,20340.0,32949.0,12609.0,10808.99997224775,2802,8,6,05:39 -> 09:09,,0
15,T04,F15,C06,LAX,ORD,45943.0,58552.0,12609.0,10808.999996745764,2802,8,6,12:45 -> 16:15,,0
16,T04,F16,C03,ORD,ATL,73404.0,77796.0,4392.0,2591.999998864085,976,8,6,20:23 -> 21:36,,0
