Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,4,JFK,DFW,19920.0,29973.0,0.0,0.0,05:32 -> 08:19
I01,I01,F01,F01,4,DFW,LAX,54345.0,63268.0,7200.0,491.6,15:05 -> 17:34
I02,I02,F02,F02,4,LAX,ORD,65067.99999999997,77676.99999999997,6230.999999999971,425.5,18:04 -> 21:34
I03,I03,F03,F03,4,ORD,ATL,73318.0,77710.0,0.0,0.0,20:21 -> 21:35
I04,I04,F04,F04,4,JFK,ATL,19800.0,25299.0,0.0,0.0,05:30 -> 07:01
I05,I05,F05,F05,4,ATL,JFK,34506.0,40005.0,0.0,0.0,09:35 -> 11:06
I06,I06,F06,F06,3,JFK,DFW,49386.0,59439.0,0.0,0.0,13:43 -> 16:30
I07,I07,F07,F07,4,DFW,JFK,69134.0,79187.0,0.0,0.0,19:12 -> 21:59
I08,I08,F08,F08,4,DFW,ORD,20880.0,26685.0,60.0,4.1,05:48 -> 07:24
I08,I14,F08,F11-F12,2,DFW,ORD,20880.0,26685.0,0.0,0.0,05:48 -> 07:24
I09,I09,F09,F09,3,ORD,DFW,49948.0,55753.0,0.0,0.0,13:52 -> 15:29
I10,I10,F06-F10,F06-F10,1,JFK,LAX,49386.0,91891.0,0.0,0.0,13:43 -> 01:31 (+1)
I11,I11,F09-F10,F09-F10,1,ORD,LAX,49948.0,91891.0,0.0,0.0,13:52 -> 01:31 (+1)
I12,I12,F10,F10,2,DFW,LAX,82968.0,91891.0,0.0,0.0,23:02 -> 01:31 (+1)
I13,I13,F11,F11,5,DFW,ATL,31773.0,37056.0,10893.0,929.7,08:49 -> 10:17
I14,I14,F11-F12,F11-F12,1,DFW,ORD,31773.0,57790.0,0.0,0.0,08:49 -> 16:03
I15,I15,F12,F12,5,ATL,ORD,53398.0,57790.0,0.0,0.0,14:49 -> 16:03
I16,I16,F13,F13,8,ORD,ATL,84836.0,89228.0,0.0,0.0,23:33 -> 00:47 (+1)
I17,I17,F14,F14,8,ATL,ORD,20700.0,25092.0,0.0,0.0,05:45 -> 06:58
I18,I18,F15,F15,8,ORD,DFW,71317.0,77122.0,10800.0,1474.8,19:48 -> 21:25
