Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,JFK,ATL,20820,26319,5499,6,4,05:47 -> 07:18,,0
T00,F01,C00,ATL,JFK,38642,44141,5499,6,4,10:44 -> 12:15,,0
T00,F02,C00,JFK,ORD,66116,71457,5341,6,4,18:21 -> 19:50,,0
T01,F03,C01,LAX,ORD,20220,32829,12609,8,6,05:37 -> 09:07,,0
T01,F04,C01,ORD,DFW,46243,52048,5805,8,6,12:50 -> 14:27,,0
T01,F05,C03,DFW,ATL,70680,75963,5283,8,6,19:38 -> 21:06,,0
T02,F06,C02,DFW,LAX,20520,29443,8923,8,6,05:42 -> 08:10,,0
T02,F07,C02,LAX,DFW,52645,61568,8923,8,6,14:37 -> 17:06,,0
T02,F08,C01,DFW,LAX,71482,80405,8923,8,6,19:51 -> 22:20,,0
T03,F09,C04,DFW,LAX,20760,29683,8923,8,6,05:46 -> 08:14,,0
T03,F10,C04,LAX,DFW,43340,52263,8923,8,6,12:02 -> 14:31,,0
T03,F14,C06,DFW,ATL,61539,66822,5283,8,8,17:05 -> 18:33,02:54,1
T03,F15,C07,ATL,DFW,65373,70656,5283,8,4,18:09 -> 19:37,01:04,2
T04,F13,C06,JFK,DFW,23880,33933,10053,6,4,06:38 -> 09:25,01:00,1
T04,F11,C05,DFW,ATL,75939,81222,5283,6,2,21:05 -> 22:33,04:00,1
T04,F12,C03,ATL,DFW,84063,89346,5283,6,6,23:21 -> 00:49 (+1),,0
T04,F16,C03,DFW,ATL,91146,96429,5283,6,4,01:19 (+1) -> 02:47 (+1),00:52,2
