Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,6,DFW,ORD,19859.999999999,25664.999999999,0.0,0.0,05:30 -> 07:07
I01,I01,F01,F01,3,ORD,ATL,41313.0,45705.0,0.0,0.0,11:28 -> 12:41
I02,I02,F02,F02,6,ATL,ORD,78137.7326453545,82529.73264449398,10681.732644493983,1094.0,21:42 -> 22:55
I03,I03,F03,F03,6,ORD,ATL,83581.00000703857,87973.00000703857,295.0000070385722,30.2,23:13 -> 00:26 (+1)
I04,I04,F04,F04,4,ORD,LAX,19980.0,32589.0,0.0,0.0,05:33 -> 09:03
I05,I05,F05,F05,4,LAX,ORD,57781.0,70390.0,0.0,0.0,16:03 -> 19:33
I06,I06,F06,F06,8,DFW,ATL,20640.0,25923.0,0.0,0.0,05:44 -> 07:12
I07,I07,F07,F07,8,ATL,DFW,55254.0,60536.999999356856,0.0,0.0,15:20 -> 16:48
I08,I08,F08,F08,8,DFW,ORD,75976.0,81780.99999907751,0.0,0.0,21:06 -> 22:43
I09,I09,F09,F09,6,ATL,DFW,20160.0,25443.0,0.0,0.0,05:36 -> 07:04
I10,I10,F10,F10,6,DFW,ATL,54717.0,60000.0,0.0,0.0,15:11 -> 16:40
I11,I11,F01-F11,F01-F11,3,ORD,DFW,41313.0,85653.0,0.0,0.0,11:28 -> 23:47
I12,I12,F11,F11,3,ATL,DFW,80370.0,85653.0,0.0,0.0,22:19 -> 23:47
I13,I13,F12,F12,6,ATL,ORD,20820.0,25212.0,0.0,0.0,05:47 -> 07:00
I14,I14,F13,F13,6,ORD,ATL,33961.0,38353.0,0.0,0.0,09:26 -> 10:39
I15,I15,F14,F14,6,ATL,DFW,43286.00000082598,48569.0,0.0,0.0,12:01 -> 13:29
I16,I16,F15,F15,6,DFW,ATL,56657.0,61940.0,0.0,0.0,15:44 -> 17:12
