Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,128,DFW,ORD,19860.0,25665.0,0.0,0.0,05:31 -> 07:07
I01,I01,F01,F01,68,ORD,ATL,41313.0,45705.0,0.0,0.0,11:28 -> 12:41
I01,I14,F01,F13,72,ORD,ATL,41313.0,45705.0,7352.0,9035.9,11:28 -> 12:41
I02,I02,F02,F02,128,ATL,ORD,67456.0,71848.0,0.0,0.0,18:44 -> 19:57
I03,I03,F03,F03,128,ORD,ATL,83581.0,87973.0,295.0,644.6,23:13 -> 00:26 (+1)
I04,I04,F04,F04,96,ORD,LAX,19980.0,32589.0,0.0,0.0,05:33 -> 09:03
I05,I05,F05,F05,96,LAX,ORD,57781.0,70390.0,0.0,0.0,16:03 -> 19:33
I06,I06,F06,F06,160,DFW,ATL,20640.0,25923.0,0.0,0.0,05:44 -> 07:12
I07,I07,F07,F07,160,ATL,DFW,55254.0,60537.0,0.0,0.0,15:20 -> 16:48
I08,I08,F08,F08,160,DFW,ORD,75976.0,81781.0,0.0,0.0,21:06 -> 22:43
I09,I09,F09,F09,128,ATL,DFW,20160.0,25443.0,0.0,0.0,05:36 -> 07:04
I10,I10,F10,F10,128,DFW,ATL,54717.0,60000.0,0.0,0.0,15:11 -> 16:40
I11,I11,F01-F11,F01-F11,60,ORD,DFW,41313.0,85653.0,0.0,0.0,11:28 -> 23:47
I12,I12,F11,F11,68,ATL,DFW,80370.0,85653.0,0.0,0.0,22:19 -> 23:47
I13,I13,F12,F12,128,ATL,ORD,20820.0,25212.0,0.0,0.0,05:47 -> 07:00
I14,I14,F13,F13,56,ORD,ATL,47610.261192770515,52002.261192770515,13649.261192770515,13047.6,13:13 -> 14:26
I15,I15,F14,F14,128,ATL,DFW,43286.0,48569.0,0.0,0.0,12:01 -> 13:29
I16,I16,F15,F15,128,DFW,ATL,62337.0,67620.0,5680.0,12410.6,17:18 -> 18:47
