index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,JFK,ATL,19920.0,25419.0,5499.0,3699.0000000004165,1222,6,4,05:32 -> 07:03,,0
1,T00,F01,C00,ATL,JFK,42591.0,48090.0,5499.0,3699.0000000010536,1222,6,4,11:49 -> 13:21,,0
2,T00,F02,C00,JFK,ATL,53099.0,58598.0,5499.0,3698.999999998677,1222,6,4,14:44 -> 16:16,,0
3,T01,F03,C01,DFW,ORD,27480.0,33285.0,5805.0,4004.999999998736,1290,6,4,07:38 -> 09:14,02:00,1
4,T01,F04,C01,ORD,LAX,60213.0,72822.0,12609.0,10808.99999997988,2802,6,4,16:43 -> 20:13,,0
5,T02,F05,C02,DFW,ATL,19799.99999999999,25082.99999999999,5283.0,3483.000000001762,1174,6,4,05:29 -> 06:58,,0
6,T02,F06,C02,ATL,ORD,62602.0,66994.0,4392.0,2592.0,976,6,4,17:23 -> 18:36,01:00,1
7,T03,F07,C03,LAX,DFW,21000.0,29923.0,8923.0,7123.0,1983,6,4,05:50 -> 08:18,,0
8,T03,F08,C03,DFW,ATL,35857.0,41140.0,5283.0,3482.999999999996,1174,6,4,09:57 -> 11:25,,0
9,T03,F09,C00,ATL,JFK,74966.0,80465.0,5499.0,3699.0,1222,6,4,20:49 -> 22:21,,0
10,T04,F10,C04,JFK,DFW,19860.0,29913.0,10053.0,8252.99999998936,2234,8,6,05:31 -> 08:18,,0
11,T04,F11,C04,DFW,LAX,45539.0,54462.0,8923.0,7123.000000000639,1983,8,6,12:38 -> 15:07,,0
12,T04,F12,C01,LAX,DFW,81508.0,90431.0,8923.0,7123.0,1983,8,6,22:38 -> 01:07 (+1),,0
13,T05,F13,C05,ORD,ATL,20700.0,25092.0,4392.0,2592.0,976,8,6,05:45 -> 06:58,,0
14,T05,F14,C05,ATL,DFW,37443.0,42726.0,5283.0,3482.9999999998054,1174,8,6,10:24 -> 11:52,,0
15,T05,F15,C05,DFW,ATL,50291.0,55574.0,5283.0,3483.0000000012856,1174,8,6,13:58 -> 15:26,,0
