entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
C00,12,12,0%,14,14,0%,4,4,0%
C01,5,5,0%,4,4,0%,4,4,0%
C02,29,18,38%,45,24,47%,4,4,0%
C03,25,18,28%,34,23,32%,5,5,0%
C04,7,7,0%,9,9,0%,4,4,0%
C05,41,18,56%,70,24,66%,4,4,0%
C06,10,10,0%,11,11,0%,5,5,0%
C07,24,10,58%,42,15,64%,5,5,0%
C08,6,6,0%,6,6,0%,5,5,0%
C09,6,6,0%,6,6,0%,5,5,0%
C10,50,17,66%,90,24,73%,5,5,0%
C11,35,18,49%,61,25,59%,5,5,0%
C12,5,5,0%,4,4,0%,4,4,0%
C13,10,10,0%,13,13,0%,5,5,0%
C14,20,15,25%,32,21,34%,7,7,0%
C15,11,11,0%,18,18,0%,5,5,0%
C16,9,9,0%,11,11,0%,4,4,0%
C17,11,11,0%,15,15,0%,2,2,0%
C18,24,17,29%,35,23,34%,6,6,0%
C19,16,16,0%,23,23,0%,7,7,0%
C20,11,11,0%,12,12,0%,5,5,0%
C21,31,7,77%,46,7,85%,6,6,0%
C22,39,16,59%,76,23,70%,5,5,0%
C23,39,17,56%,76,25,67%,5,5,0%
C24,9,9,0%,11,11,0%,4,4,0%
C25,39,9,77%,62,10,84%,4,4,0%
C26,50,18,64%,101,24,76%,5,5,0%
C27,7,7,0%,8,8,0%,5,5,0%
C28,12,12,0%,17,17,0%,4,4,0%
C29,26,18,31%,43,24,44%,5,5,0%
C30,6,6,0%,5,5,0%,5,5,0%
C31,3,3,0%,2,2,0%,2,2,0%
C32,7,7,0%,8,8,0%,4,4,0%
C33,42,15,64%,92,23,75%,7,7,0%
C34,16,16,0%,22,22,0%,6,6,0%
C35,8,8,0%,10,10,0%,5,5,0%
C36,15,15,0%,21,21,0%,2,2,0%
C37,8,8,0%,9,9,0%,6,6,0%
C38,15,15,0%,20,20,0%,5,5,0%
C39,11,11,0%,14,14,0%,5,5,0%
C40,6,6,0%,6,6,0%,5,5,0%
C41,9,9,0%,10,10,0%,5,5,0%
C42,50,15,70%,101,23,77%,6,6,0%
C43,12,12,0%,15,15,0%,6,6,0%
C44,24,16,33%,34,22,35%,5,5,0%
C45,5,5,0%,4,4,0%,4,4,0%
C46,60,17,72%,119,21,82%,4,4,0%
C47,5,5,0%,5,5,0%,4,4,0%
C48,16,16,0%,22,22,0%,5,5,0%
C49,8,8,0%,9,9,0%,4,4,0%
C50,6,6,0%,6,6,0%,5,5,0%
C51,7,7,0%,7,7,0%,4,4,0%
C52,38,17,55%,69,25,64%,4,4,0%
C53,5,5,0%,4,4,0%,4,4,0%
C54,34,12,65%,66,15,77%,6,6,0%
C55,6,6,0%,7,7,0%,5,5,0%
C56,14,14,0%,18,18,0%,4,4,0%
C57,64,14,78%,136,25,82%,5,5,0%
C58,9,9,0%,11,11,0%,4,4,0%
C59,5,5,0%,4,4,0%,4,4,0%
C60,12,12,0%,15,15,0%,5,5,0%
C61,5,5,0%,5,5,0%,4,4,0%
C62,15,15,0%,21,21,0%,5,5,0%
C63,7,7,0%,8,8,0%,4,4,0%
C64,17,17,0%,23,23,0%,5,5,0%
C65,17,16,6%,27,24,11%,5,5,0%
C66,38,18,53%,69,25,64%,4,4,0%
C67,9,9,0%,11,11,0%,4,4,0%
C68,18,16,11%,28,22,21%,4,4,0%
C69,6,6,0%,6,6,0%,5,5,0%
C70,15,15,0%,21,21,0%,4,4,0%
C71,17,17,0%,21,21,0%,5,5,0%
C72,26,16,38%,46,23,50%,4,4,0%
C73,40,16,60%,69,25,64%,4,4,0%
C74,9,9,0%,10,10,0%,4,4,0%
C75,6,6,0%,6,6,0%,5,5,0%
C76,8,8,0%,10,10,0%,4,4,0%
C77,17,17,0%,24,24,0%,4,4,0%
C78,5,5,0%,6,6,0%,4,4,0%
C79,74,15,80%,165,21,87%,5,5,0%
C80,6,6,0%,8,8,0%,5,5,0%
C81,21,18,14%,30,23,23%,4,4,0%
C82,17,17,0%,21,21,0%,6,6,0%
