entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I00,3,3,0%,2,2,0%,2,2,0%
I01,3,3,0%,2,2,0%,2,2,0%
I02,3,3,0%,2,2,0%,2,2,0%
I03,3,3,0%,2,2,0%,2,2,0%
I04,3,3,0%,2,2,0%,2,2,0%
I05,3,3,0%,2,2,0%,2,2,0%
I06,3,3,0%,2,2,0%,2,2,0%
I07,4,4,0%,4,4,0%,2,2,0%
I08,4,4,0%,4,4,0%,2,2,0%
I09,19,19,0%,24,24,0%,2,2,0%
I10,9,9,0%,11,11,0%,2,2,0%
I11,3,3,0%,2,2,0%,2,2,0%
I12,3,3,0%,2,2,0%,2,2,0%
I13,4,4,0%,4,4,0%,2,2,0%
I14,3,3,0%,2,2,0%,2,2,0%
I15,3,3,0%,2,2,0%,2,2,0%
I16,3,3,0%,2,2,0%,2,2,0%
I17,3,3,0%,2,2,0%,2,2,0%
I18,6,6,0%,6,6,0%,2,2,0%
I19,3,3,0%,2,2,0%,2,2,0%
I20,7,7,0%,8,8,0%,2,2,0%
I21,3,3,0%,2,2,0%,2,2,0%
I22,3,3,0%,2,2,0%,2,2,0%
I23,4,4,0%,4,4,0%,2,2,0%
I24,22,18,18%,36,25,31%,2,2,0%
I25,3,3,0%,2,2,0%,2,2,0%
I26,10,10,0%,12,12,0%,3,3,0%
I27,3,3,0%,2,2,0%,2,2,0%
I28,3,3,0%,2,2,0%,2,2,0%
I29,3,3,0%,2,2,0%,2,2,0%
I30,3,3,0%,2,2,0%,2,2,0%
I31,3,3,0%,2,2,0%,2,2,0%
I32,3,3,0%,2,2,0%,2,2,0%
I33,3,3,0%,2,2,0%,2,2,0%
I34,3,3,0%,2,2,0%,2,2,0%
I35,3,3,0%,2,2,0%,2,2,0%
I36,3,3,0%,2,2,0%,2,2,0%
I37,3,3,0%,2,2,0%,2,2,0%
I38,3,3,0%,2,2,0%,2,2,0%
I39,4,4,0%,4,4,0%,2,2,0%
I40,15,15,0%,21,21,0%,2,2,0%
I41,29,18,38%,45,23,49%,3,3,0%
I42,11,11,0%,15,15,0%,2,2,0%
I43,3,3,0%,2,2,0%,2,2,0%
I44,3,3,0%,2,2,0%,2,2,0%
I45,3,3,0%,2,2,0%,2,2,0%
I46,4,4,0%,4,4,0%,2,2,0%
I47,3,3,0%,2,2,0%,2,2,0%
I48,3,3,0%,2,2,0%,2,2,0%
I49,3,3,0%,2,2,0%,2,2,0%
I50,3,3,0%,2,2,0%,2,2,0%
I51,3,3,0%,2,2,0%,2,2,0%
I52,3,3,0%,2,2,0%,2,2,0%
I53,6,6,0%,6,6,0%,3,3,0%
I54,3,3,0%,2,2,0%,2,2,0%
I55,3,3,0%,2,2,0%,2,2,0%
I56,3,3,0%,2,2,0%,2,2,0%
I57,7,7,0%,9,9,0%,2,2,0%
I58,3,3,0%,2,2,0%,2,2,0%
