entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I00P00,3,3,0%,2,2,0%,2,2,0%
I00P01,3,3,0%,2,2,0%,2,2,0%
I00P02,3,3,0%,2,2,0%,2,2,0%
I00P03,3,3,0%,2,2,0%,2,2,0%
I00P04,3,3,0%,2,2,0%,2,2,0%
I00P05,3,3,0%,2,2,0%,2,2,0%
I00P06,3,3,0%,2,2,0%,2,2,0%
I00P07,3,3,0%,2,2,0%,2,2,0%
I00P08,3,3,0%,2,2,0%,2,2,0%
I00P09,3,3,0%,2,2,0%,2,2,0%
I00P10,3,3,0%,2,2,0%,2,2,0%
I00P11,3,3,0%,2,2,0%,2,2,0%
I00P12,3,3,0%,2,2,0%,2,2,0%
I00P13,3,3,0%,2,2,0%,2,2,0%
I00P14,3,3,0%,2,2,0%,2,2,0%
I00P15,3,3,0%,2,2,0%,2,2,0%
I00P16,3,3,0%,2,2,0%,2,2,0%
I00P17,3,3,0%,2,2,0%,2,2,0%
I00P18,3,3,0%,2,2,0%,2,2,0%
I00P19,3,3,0%,2,2,0%,2,2,0%
I00P20,3,3,0%,2,2,0%,2,2,0%
I01P00,3,3,0%,2,2,0%,2,2,0%
I01P01,3,3,0%,2,2,0%,2,2,0%
I01P02,3,3,0%,2,2,0%,2,2,0%
I01P03,3,3,0%,2,2,0%,2,2,0%
I01P04,3,3,0%,2,2,0%,2,2,0%
I01P05,3,3,0%,2,2,0%,2,2,0%
I01P06,3,3,0%,2,2,0%,2,2,0%
I01P07,3,3,0%,2,2,0%,2,2,0%
I01P08,3,3,0%,2,2,0%,2,2,0%
I01P09,3,3,0%,2,2,0%,2,2,0%
I01P10,3,3,0%,2,2,0%,2,2,0%
I01P11,3,3,0%,2,2,0%,2,2,0%
I01P12,3,3,0%,2,2,0%,2,2,0%
I01P13,3,3,0%,2,2,0%,2,2,0%
I01P14,3,3,0%,2,2,0%,2,2,0%
I01P15,3,3,0%,2,2,0%,2,2,0%
I01P16,3,3,0%,2,2,0%,2,2,0%
I01P17,3,3,0%,2,2,0%,2,2,0%
I01P18,3,3,0%,2,2,0%,2,2,0%
I01P19,3,3,0%,2,2,0%,2,2,0%
I01P20,3,3,0%,2,2,0%,2,2,0%
I01P21,3,3,0%,2,2,0%,2,2,0%
I01P22,3,3,0%,2,2,0%,2,2,0%
I01P23,3,3,0%,2,2,0%,2,2,0%
I01P24,3,3,0%,2,2,0%,2,2,0%
I01P25,3,3,0%,2,2,0%,2,2,0%
I01P26,3,3,0%,2,2,0%,2,2,0%
I01P27,3,3,0%,2,2,0%,2,2,0%
I01P28,3,3,0%,2,2,0%,2,2,0%
I01P29,3,3,0%,2,2,0%,2,2,0%
I01P30,3,3,0%,2,2,0%,2,2,0%
I01P31,3,3,0%,2,2,0%,2,2,0%
I01P32,3,3,0%,2,2,0%,2,2,0%
I01P33,3,3,0%,2,2,0%,2,2,0%
I01P34,3,3,0%,2,2,0%,2,2,0%
I01P35,3,3,0%,2,2,0%,2,2,0%
I01P36,3,3,0%,2,2,0%,2,2,0%
I01P37,3,3,0%,2,2,0%,2,2,0%
I01P38,3,3,0%,2,2,0%,2,2,0%
I01P39,3,3,0%,2,2,0%,2,2,0%
I01P40,3,3,0%,2,2,0%,2,2,0%
I01P41,3,3,0%,2,2,0%,2,2,0%
I01P42,3,3,0%,2,2,0%,2,2,0%
I01P43,3,3,0%,2,2,0%,2,2,0%
I01P44,3,3,0%,2,2,0%,2,2,0%
I01P45,3,3,0%,2,2,0%,2,2,0%
I01P46,3,3,0%,2,2,0%,2,2,0%
I01P47,3,3,0%,2,2,0%,2,2,0%
I01P48,3,3,0%,2,2,0%,2,2,0%
I01P49,3,3,0%,2,2,0%,2,2,0%
I01P50,3,3,0%,2,2,0%,2,2,0%
I01P51,3,3,0%,2,2,0%,2,2,0%
I01P52,3,3,0%,2,2,0%,2,2,0%
I01P53,3,3,0%,2,2,0%,2,2,0%
I01P54,3,3,0%,2,2,0%,2,2,0%
I01P55,3,3,0%,2,2,0%,2,2,0%
I01P56,3,3,0%,2,2,0%,2,2,0%
I01P57,3,3,0%,2,2,0%,2,2,0%
I01P58,3,3,0%,2,2,0%,2,2,0%
I01P59,3,3,0%,2,2,0%,2,2,0%
I01P60,3,3,0%,2,2,0%,2,2,0%
I01P61,3,3,0%,2,2,0%,2,2,0%
I01P62,3,3,0%,2,2,0%,2,2,0%
I01P63,3,3,0%,2,2,0%,2,2,0%
I01P64,3,3,0%,2,2,0%,2,2,0%
I01P65,3,3,0%,2,2,0%,2,2,0%
I01P66,3,3,0%,2,2,0%,2,2,0%
I01P67,3,3,0%,2,2,0%,2,2,0%
I01P68,3,3,0%,2,2,0%,2,2,0%
I01P69,3,3,0%,2,2,0%,2,2,0%
I01P70,3,3,0%,2,2,0%,2,2,0%
I01P71,3,3,0%,2,2,0%,2,2,0%
I01P72,3,3,0%,2,2,0%,2,2,0%
I01P73,3,3,0%,2,2,0%,2,2,0%
I01P74,3,3,0%,2,2,0%,2,2,0%
I01P75,3,3,0%,2,2,0%,2,2,0%
I01P76,3,3,0%,2,2,0%,2,2,0%
I01P77,3,3,0%,2,2,0%,2,2,0%
I01P78,3,3,0%,2,2,0%,2,2,0%
I01P79,3,3,0%,2,2,0%,2,2,0%
I01P80,3,3,0%,2,2,0%,2,2,0%
I01P81,3,3,0%,2,2,0%,2,2,0%
I01P82,3,3,0%,2,2,0%,2,2,0%
I01P83,3,3,0%,2,2,0%,2,2,0%
I01P84,3,3,0%,2,2,0%,2,2,0%
I01P85,3,3,0%,2,2,0%,2,2,0%
I01P86,3,3,0%,2,2,0%,2,2,0%
I01P87,3,3,0%,2,2,0%,2,2,0%
I01P88,3,3,0%,2,2,0%,2,2,0%
I01P89,3,3,0%,2,2,0%,2,2,0%
I01P90,3,3,0%,2,2,0%,2,2,0%
I01P91,3,3,0%,2,2,0%,2,2,0%
I01P92,3,3,0%,2,2,0%,2,2,0%
I01P93,3,3,0%,2,2,0%,2,2,0%
I01P94,3,3,0%,2,2,0%,2,2,0%
I01P95,3,3,0%,2,2,0%,2,2,0%
I02P00,3,3,0%,2,2,0%,2,2,0%
I02P01,3,3,0%,2,2,0%,2,2,0%
I02P02,3,3,0%,2,2,0%,2,2,0%
I02P03,3,3,0%,2,2,0%,2,2,0%
I02P04,3,3,0%,2,2,0%,2,2,0%
I02P05,3,3,0%,2,2,0%,2,2,0%
I02P06,3,3,0%,2,2,0%,2,2,0%
I02P07,3,3,0%,2,2,0%,2,2,0%
I02P08,3,3,0%,2,2,0%,2,2,0%
I02P09,3,3,0%,2,2,0%,2,2,0%
I02P10,3,3,0%,2,2,0%,2,2,0%
I02P11,3,3,0%,2,2,0%,2,2,0%
I02P12,3,3,0%,2,2,0%,2,2,0%
I02P13,3,3,0%,2,2,0%,2,2,0%
I02P14,3,3,0%,2,2,0%,2,2,0%
I02P15,3,3,0%,2,2,0%,2,2,0%
I02P16,3,3,0%,2,2,0%,2,2,0%
I02P17,3,3,0%,2,2,0%,2,2,0%
I02P18,3,3,0%,2,2,0%,2,2,0%
I02P19,3,3,0%,2,2,0%,2,2,0%
I02P20,3,3,0%,2,2,0%,2,2,0%
I02P21,3,3,0%,2,2,0%,2,2,0%
I02P22,3,3,0%,2,2,0%,2,2,0%
I02P23,3,3,0%,2,2,0%,2,2,0%
I02P24,3,3,0%,2,2,0%,2,2,0%
I02P25,3,3,0%,2,2,0%,2,2,0%
I02P26,3,3,0%,2,2,0%,2,2,0%
I02P27,3,3,0%,2,2,0%,2,2,0%
I02P28,3,3,0%,2,2,0%,2,2,0%
I02P29,3,3,0%,2,2,0%,2,2,0%
I02P30,3,3,0%,2,2,0%,2,2,0%
I02P31,3,3,0%,2,2,0%,2,2,0%
I02P32,3,3,0%,2,2,0%,2,2,0%
I02P33,3,3,0%,2,2,0%,2,2,0%
I02P34,3,3,0%,2,2,0%,2,2,0%
I02P35,3,3,0%,2,2,0%,2,2,0%
I02P36,3,3,0%,2,2,0%,2,2,0%
I02P37,3,3,0%,2,2,0%,2,2,0%
I02P38,3,3,0%,2,2,0%,2,2,0%
I02P39,3,3,0%,2,2,0%,2,2,0%
I02P40,3,3,0%,2,2,0%,2,2,0%
I02P41,3,3,0%,2,2,0%,2,2,0%
I02P42,3,3,0%,2,2,0%,2,2,0%
I02P43,3,3,0%,2,2,0%,2,2,0%
I02P44,3,3,0%,2,2,0%,2,2,0%
I02P45,3,3,0%,2,2,0%,2,2,0%
I02P46,3,3,0%,2,2,0%,2,2,0%
I02P47,3,3,0%,2,2,0%,2,2,0%
I02P48,3,3,0%,2,2,0%,2,2,0%
I02P49,3,3,0%,2,2,0%,2,2,0%
I02P50,3,3,0%,2,2,0%,2,2,0%
I02P51,3,3,0%,2,2,0%,2,2,0%
I02P52,3,3,0%,2,2,0%,2,2,0%
I02P53,3,3,0%,2,2,0%,2,2,0%
I02P54,3,3,0%,2,2,0%,2,2,0%
I02P55,3,3,0%,2,2,0%,2,2,0%
I02P56,3,3,0%,2,2,0%,2,2,0%
I02P57,3,3,0%,2,2,0%,2,2,0%
I02P58,3,3,0%,2,2,0%,2,2,0%
I02P59,3,3,0%,2,2,0%,2,2,0%
I02P60,3,3,0%,2,2,0%,2,2,0%
