Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,SEA,LAX,20580.0,27492.0,6912,5112,1536,160,128,05:43 -> 07:38,0
T00,F01,C00,LAX,DFW,45910.0,54833.0,8923,7123,1983,160,128,12:45 -> 15:13,0
T01,F02,C01,JFK,ATL,20040.0,25539.0,5499,3699,1222,120,96,05:34 -> 07:05,0
T01,F03,C01,ATL,PHX,35906.0,47376.0,11470,9670,2549,120,96,09:58 -> 13:09,0
T01,F04,C02,PHX,IAH,80030.0,87320.0,7290,5490,1620,120,96,22:13 -> 00:15 (+1),0
T02,F05,C03,DEN,ATL,31897.859206741086,40564.85920674109,8667,6867,1926,160,128,08:51 -> 11:16,1
T02,F06,C03,ATL,MIA,50303.0,54618.0,4315,2515,959,160,128,13:58 -> 15:10,0
T02,F07,C03,MIA,DFW,59607.0,67716.0,8109,6309,1802,160,128,16:33 -> 18:48,0
T03,F08,C04,DEN,IAH,19920.0,26161.0,6241,4441,1387,200,160,05:32 -> 07:16,0
T03,F09,C04,IAH,MIA,36121.0,43091.0,6970,5170,1549,200,160,10:02 -> 11:58,0
T03,F10,C04,MIA,ORD,47642.0,56327.0,8685,6885,1930,200,160,13:14 -> 15:38,0
T03,F11,C05,ORD,LAX,76980.0,89589.0,12609,10809,2802,200,160,21:23 -> 00:53 (+1),0
T04,F12,C06,LAX,ORD,20940.0,33549.0,12609,10809,2802,160,128,05:49 -> 09:19,0
T04,F13,C06,ORD,LAX,43629.0,56238.0,12609,10809,2802,160,128,12:07 -> 15:37,0
T05,F14,C07,JFK,ATL,22398.02933286328,27897.02933286328,5499,3699,1222,200,160,06:13 -> 07:44,1
T05,F15,C07,ATL,JFK,32452.0,37951.0,5499,3699,1222,200,160,09:00 -> 10:32,0
T05,F16,C07,JFK,MCO,42495.0,49339.0,6844,5044,1521,200,160,11:48 -> 13:42,0
T05,F17,C08,MCO,PHX,79793.0,93153.0,13360,11560,2969,200,160,22:09 -> 01:52 (+1),0
T06,F18,C09,PHX,DEN,20280.0,24636.0,4356,2556,968,160,128,05:38 -> 06:50,0
T06,F19,C09,DEN,DFW,60508.0,65152.0,4644,2844,1032,160,128,16:48 -> 18:05,0
T06,F20,C00,DFW,ATL,87909.0,93192.0,5283,3483,1174,160,128,00:25 (+1) -> 01:53 (+1),0
T07,F21,C10,LAX,ORD,20040.0,32649.0,12609,10809,2802,120,96,05:34 -> 09:04,0
T07,F22,C04,ORD,DFW,62394.0,68199.0,5805,4005,1290,120,96,17:19 -> 18:56,0
T08,F23,C11,DEN,MCO,19980.0,31167.0,11187,9387,2486,120,96,05:33 -> 08:39,0
T08,F24,C07,MCO,DEN,65834.0,77021.0,11187,9387,2486,120,96,18:17 -> 21:23,0
T08,F25,C12,DEN,PHX,86022.0,90378.0,4356,2556,968,120,96,23:53 -> 01:06 (+1),0
T09,F26,C13,LAX,ORD,20220.0,32829.0,12609,10809,2802,160,128,05:37 -> 09:07,0
T09,F27,C10,ORD,LAX,49542.0,62151.0,12609,10809,2802,160,128,13:45 -> 17:15,0
T09,F28,C06,LAX,SEA,79926.0,86838.0,6912,5112,1536,160,128,22:12 -> 00:07 (+1),0
T10,F29,C14,ORD,IAH,20160.0,26865.0,6705,4905,1490,200,160,05:36 -> 07:27,0
T10,F30,C14,IAH,ATL,58591.33150749608,63572.33150749608,4981,3181,1107,200,160,16:16 -> 17:39,1
T10,F31,C14,ATL,IAH,73699.0,78680.0,4981,3181,1107,200,160,20:28 -> 21:51,0
T11,F32,C15,JFK,DEN,20040.0,31780.0,11740,9940,2609,200,160,05:34 -> 08:49,0
T11,F33,C15,DEN,MCO,58941.0,70128.0,11187,9387,2486,200,160,16:22 -> 19:28,0
T12,F34,C16,PHX,MCO,21000.0,34360.0,13360,11560,2969,160,128,05:50 -> 09:32,0
T12,F35,C11,MCO,JFK,46772.0,53616.0,6844,5044,1521,160,128,12:59 -> 14:53,0
T12,F36,C17,JFK,MCO,79307.0,86151.0,6844,5044,1521,160,128,22:01 -> 23:55,0
T13,F37,C18,ATL,MIA,25986.45921586168,30301.45921586168,4315,2515,959,160,128,07:13 -> 08:25,1
T13,F38,C18,MIA,ATL,53043.0,57358.0,4315,2515,959,160,128,14:44 -> 15:55,0
T14,F39,C19,PHX,SFO,19800.0,24507.0,4707,2907,1046,200,160,05:30 -> 06:48,0
T14,F40,C19,SFO,DFW,36979.0,47558.0,10579,8779,2351,200,160,10:16 -> 13:12,0
T14,F41,C20,DFW,ATL,55787.0,61070.0,5283,3483,1174,200,160,15:29 -> 16:57,0
