Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,LAX,ORD,20700,33309,12609,10809,2802,6,4,05:45 -> 09:15,0
T00,F01,C00,ORD,ATL,43404,47796,4392,2592,976,6,4,12:03 -> 13:16,0
T00,F02,C01,ATL,ORD,54906,59298,4392,2592,976,6,4,15:15 -> 16:28,0
T00,F03,C01,ORD,LAX,70816,83425,12609,10809,2802,6,4,19:40 -> 23:10,0
T01,F04,C02,LAX,ORD,20100,32709,12609,10809,2802,6,4,05:35 -> 09:05,0
T01,F05,C02,ORD,ATL,53865,58257,4392,2592,976,6,4,14:57 -> 16:10,1
T01,F06,C03,ATL,ORD,42508,46900,4392,2592,976,6,4,11:48 -> 13:01,0
T01,F07,C03,ORD,LAX,50066,62675,12609,10809,2802,6,4,13:54 -> 17:24,0
T01,F08,C04,LAX,ORD,73636,86245,12609,10809,2802,6,4,20:27 -> 23:57,0
T02,F09,C05,ORD,ATL,20100,24492,4392,2592,976,6,4,05:35 -> 06:48,0
T02,F10,C05,ATL,ORD,28723,33115,4392,2592,976,6,4,07:58 -> 09:11,0
T02,F11,C05,ORD,LAX,37986,50595,12609,10809,2802,6,4,10:33 -> 14:03,0
T02,F12,C06,LAX,ORD,53220,65829,12609,10809,2802,6,4,14:47 -> 18:17,0
T02,F13,C06,ORD,LAX,76941,89550,12609,10809,2802,6,4,21:22 -> 00:52 (+1),0
