Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,MCO,PHX,19860.0,33220.0,13360,11560,2969,160,128,05:31 -> 09:13,0
T00,F01,C00,PHX,ATL,48868.0,60338.0,11470,9670,2549,160,128,13:34 -> 16:45,0
T00,F02,C01,ATL,MCO,82089.0,85014.0,2925,1125,650,160,128,22:48 -> 23:36,0
T01,F03,C02,JFK,CLT,20340.0,24255.0,3915,2115,870,200,160,05:39 -> 06:44,0
T01,F04,C02,CLT,IAH,69256.52285438278,75853.52285438278,6597,4797,1466,200,160,19:14 -> 21:04,1
T01,F05,C02,IAH,ATL,78233.55882829124,83214.55882829124,4981,3181,1107,200,160,21:43 -> 23:06,1
T02,F06,C03,ATL,JFK,20132.10172911109,25631.10172911109,5499,3699,1222,200,160,05:35 -> 07:07,1
T02,F07,C03,JFK,CLT,55428.0,59343.0,3915,2115,870,200,160,15:23 -> 16:29,0
T03,F08,C04,ORD,DEN,31828.154345516603,38245.1543455166,6417,4617,1426,160,128,08:50 -> 10:37,1
T03,F09,C04,DEN,ORD,55851.0,62268.0,6417,4617,1426,160,128,15:30 -> 17:17,0
T03,F10,C04,ORD,DEN,82638.0,89055.0,6417,4617,1426,160,128,22:57 -> 00:44 (+1),0
T04,F11,C05,DFW,JFK,20340.0,30393.0,10053,8253,2234,160,128,05:39 -> 08:26,0
T04,F12,C05,JFK,ATL,50915.0,56414.0,5499,3699,1222,160,128,14:08 -> 15:40,0
T04,F13,C00,ATL,DEN,78310.0,86977.0,8667,6867,1926,160,128,21:45 -> 00:09 (+1),0
T05,F14,C06,LAS,ATL,20700.0,33318.0,12618,10818,2804,200,160,05:45 -> 09:15,0
T05,F15,C06,ATL,LAS,39571.0,52189.0,12618,10818,2804,200,160,10:59 -> 14:29,0
T05,F16,C07,LAS,ATL,55310.0,67928.0,12618,10818,2804,200,160,15:21 -> 18:52,0
T06,F17,C08,DTW,DEN,22503.937970467665,30612.937970467665,8109,6309,1802,200,160,06:15 -> 08:30,1
T06,F18,C08,DEN,SEA,37548.0,44950.0,7402,5602,1645,200,160,10:25 -> 12:29,0
T06,F19,C09,SEA,LAX,74355.35994685974,81267.35994685974,6912,5112,1536,200,160,20:39 -> 22:34,1
T06,F20,C09,LAX,SEA,94890.39079983311,101802.39079983311,6912,5112,1536,200,160,02:21 -> 04:16,1
T07,F21,C10,LAS,SFO,19980.0,22968.0,2988,1188,664,120,96,05:33 -> 06:22,0
T07,F22,C10,SFO,IAH,33961.423784516446,45782.423784516446,11821,10021,2627,120,96,09:26 -> 12:43,1
T07,F23,C11,IAH,SFO,73471.0,85292.0,11821,10021,2627,120,96,20:24 -> 23:41,0
T08,F24,C12,ATL,DEN,19980.0,28647.0,8667,6867,1926,120,96,05:33 -> 07:57,0
T08,F25,C12,DEN,DTW,55648.14887797611,63757.14887797611,8109,6309,1802,120,96,15:27 -> 17:42,1
T09,F26,C13,MSP,DFW,20160.0,26334.0,6174,4374,1372,120,96,05:36 -> 07:18,0
T09,F27,C13,DFW,ORD,51367.0,57172.0,5805,4005,1290,120,96,14:16 -> 15:52,0
