Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,ORD,LAX,20820,33429,12609,10809,2802,6,4,05:47 -> 09:17,0
T00,F01,C00,LAX,ORD,49352,61961,12609,10809,2802,6,4,13:42 -> 17:12,1
T00,F02,C01,ORD,ATL,87536,91928,4392,2592,976,6,4,00:18 -> 01:32,1
T01,F03,C02,ORD,ATL,20040,24432,4392,2592,976,8,6,05:34 -> 06:47,0
T01,F04,C02,ATL,ORD,61185,65577,4392,2592,976,8,6,16:59 -> 18:12,1
T01,F05,C00,ORD,ATL,73831,78223,4392,2592,976,8,6,20:30 -> 21:43,1
T01,F06,C03,ATL,ORD,77372,81764,4392,2592,976,8,6,21:29 -> 22:42,0
T02,F07,C04,ORD,LAX,20580,33189,12609,10809,2802,8,6,05:43 -> 09:13,0
T02,F08,C04,LAX,ORD,44859,57468,12609,10809,2802,8,6,12:27 -> 15:57,0
T02,F09,C02,ORD,LAX,61431,74040,12609,10809,2802,8,6,17:03 -> 20:34,0
T03,F10,C05,LAX,ORD,20760,33369,12609,10809,2802,8,6,05:46 -> 09:16,0
T03,F11,C05,ORD,ATL,47026,51418,4392,2592,976,8,6,13:03 -> 14:16,0
T03,F12,C06,ATL,ORD,73547,77939,4392,2592,976,8,6,20:25 -> 21:38,0
